input,output
#bali#,#bali#
#bebel#,#bebel#
#beŋel#,#beŋel#
#bitak#,#bitak#
#buta#,#buta#
#saket#,#caket#
#sepuk#,#cepuk#
#serik#,#cerik#
#seŋap#,#ceŋap#
#ʔekek#,#ehek#
#bail#,#fail#
#kaju#,#hadʒu#
#ʔalipan#,#lipaŋ#
#mataj#,#mata#
#mutaʔ#,#munta#
#ɲawa#,#nawa#
#nipi#,#nipi#
#oliʔ#,#ole#
#uliʔ#,#ole#
#pasekₐ#,#pacek#
#paniŋ#,#paniŋ#
#rujuŋ#,#rudʒuŋ#
#daun#,#sauŋ#
#daʔi#,#saʔi#
#tuma#,#tuma#
#ʔulu#,#ulu#
#ba#,#wa#
#waŋka#,#waŋka#
#baaʔ#,#waʔa#
#betis#,#wetis#
#beŋel#,#weŋel#
#bisik#,#wicik#
#buek#,#wuk#
#bulu#,#wulu#
#ŋaŋar#,#ŋaŋar#
