input,output
#bahuʔ#,#bahoʔ#
#daŋdaŋ#,#daŋdaŋ#
#duha#,#duha#
#deket#,#dukot#
#dahun#,#dahon#
#zalan#,#dalan#
#dilaʔ#,#dilaʔ#
#ɡiliŋ#,#ɡiliŋ#
#ka#,#ka#
#ɡatel#,#katol#
#kutu#,#kuto#
#likuʔ#,#likoʔ#
#luaʔ#,#luwaʔ#
#lawaʔ#,#lawaʔ#
#laŋaw#,#laŋaw#
#laŋit#,#laŋit#
#limas#,#limas#
#luheʔ#,#luhaʔ#
#lumut#,#lumot#
#manuk#,#manok#
#mata#,#mata#
#na#,#na#
#nues#,#nuos#
#nanaʔ#,#nanaʔ#
#pilit#,#pilit#
#pusedʒ#,#pusod#
#rantas#,#rantas#
#ratas#,#rantas#
#saʔebit#,#sabʔit#
#sakit#,#sakit#
#salaʔ#,#salaʔ#
#sawa#,#sawa#
#saŋa#,#saŋa#
#suluʔ#,#suloʔ#
#sumpit#,#sumpit#
#tambak#,#tambak#
#tanem#,#tanom#
#tasik#,#tasik#
#taŋis#,#taŋis#
#tebuh#,#tubo#
#tuaj#,#tuwaj#
#taʔi#,#taʔi#
#tuhud#,#tuhod#
#ŋutŋut#,#ŋotŋot#
#ŋadʒan#,#ŋaran#
