input,output
#aba#,#aba#
#abaɡ#,#abaɡ#
#hadawiʔ#,#adawi#
#anajup#,#anajup#
#ananaj#,#ananej#
#ajaw#,#ajaw#
#ʔaŋesu#,#aŋso#
#ʔaŋsu#,#aŋso#
#ʔaŋetedʒ#,#aŋteɡ#
#ʔaŋtedʒ#,#aŋteɡ#
#balisusu#,#balisoso#
#balaw#,#balaw#
#balajaŋ#,#balajaŋ#
#balikes#,#balikes#
#balikid#,#balikid#
#bajbaj#,#bajbaj#
#betek#,#betek#
#buŋetut#,#boŋtot#
#buŋtut#,#boŋtot#
#buɡaʔ#,#buɡa#
#bulalakaw#,#bulalakaw#
#bulediŋ#,#buldiŋ#
#buldiŋ#,#buldiŋ#
#buaɡ#,#buaɡ#
#buas#,#buas#
#bilu#,#bilo#
#bitu#,#bito#
#bunudʒ#,#bunuɡ#
#butil#,#buti#
#danaʔ#,#dana#
#dudun#,#duun#
#helek#,#elek#
#iŋɡuk#,#iɡok#
#iʔit#,#iit#
#hilit#,#ilit#
#himatun#,#imaton#
#iŋʔiiŋ#,#iŋiiŋ#
#kabatiti#,#kabatiti#
#kawitan#,#kawitan#
#keba#,#keba#
#kedked#,#kedked#
#kapaw#,#kapew#
#lebek#,#lebek#
#lesles#,#lesles#
#limed#,#limed#
#labaw#,#labew#
#litas#,#lisat#
#lubid#,#lubid#
#lusiʔ#,#lusi#
#man#,#man#
#mimis#,#mimis#
#pinsan#,#pinsan#
#puŋan#,#puŋan#
#palis#,#palis#
#pilit#,#pilit#
#pitek#,#pitek#
#puedʒ#,#pueɡ#
#sa#,#sa#
#sabaliʔ#,#sabali#
#sauŋ#,#saoŋ#
#siki#,#siki#
#siam#,#siam#
#sapad#,#sapad#
#taʔenaj#,#tanʔaj#
#taʔnaj#,#tanʔaj#
#tiwatiw#,#tiwatiw#
#tuɡiʔ#,#tuɡi#
#tanud#,#tanud#
#tikuʔ#,#tiko#
#warak#,#walak#
#wiʔwiʔ#,#wiwʔi#
#wakat#,#wakat#
#waras#,#walas#
#waʔwaʔ#,#wawa#
#japjap#,#japjap#
#abaj#,#abaj#
#iba#,#iba#
#hilut#,#ilut#
#hinam#,#inam#
#ipun#,#ipon#
#isip#,#isip#
#hubad#,#ubad#
#ŋitŋit#,#ŋitiŋit#
#anduruɡ#,#anduluɡ#
