input,output
#apon#,#afo#
#ʔaco#,#aho#
#ai#,#ai#
#ʔarop#,#alo#
#saman#,#ama#
#ane#,#ane#
#ʔanus#,#anu#
#ʔanusi#,#anu#
#ʔatop#,#ato#
#ʔatun#,#atu#
#ʔasu#,#au#
#saŋa#,#aŋa#
#aŋin#,#aŋi#
#papine#,#faafine#
#paʔas#,#faai#
#papine#,#fafine#
#muri#,#fakamuli#
#pano#,#fano#
#patu#,#fatu#
#paŋa#,#faŋa#
#pea#,#fea#
#pituʔun#,#fetuu#
#pica#,#fia#
#piro#,#filo#
#pintik#,#fiti#
#posaʔ#,#foa#
#polon#,#folo#
#ponor#,#fono#
#poɲu#,#fonu#
#puaʔ#,#fua#
#buaʔ#,#fua#
#buliŋ#,#fuli#
#pulu#,#fulu#
#pulu#,#fulu#
#pudi#,#futi#
#palus#,#halu#
#ipi#,#ifi#
#sipo#,#ifo#
#siku#,#iku#
#ibo#,#ipo#
#kani#,#kai#
#kaka#,#kaka#
#kaso#,#kato#
#kiadʒo#,#kiato#
#kulit#,#kili#
#kodʒom#,#koho#
#kobit#,#kopi#
#raʔe#,#lae#
#lapa#,#lafa#
#drali#,#lali#
#ralom#,#lalo#
#laŋo#,#laŋo#
#rere#,#lele#
#lisa#,#lia#
#loto#,#loto#
#rua#,#lua#
#matolu#,#maatolu#
#masakit#,#mahaki#
#mai#,#mai#
#mana#,#mana#
#maɲawa#,#manava#
#manoŋi#,#manoŋi#
#mataʔ#,#mata#
#matakut#,#mataku#
#mate#,#mate#
#matuʔa#,#matua#
#miti#,#miti#
#muri#,#muli#
#matuʔa#,#maːtua#
#nipon#,#nifo#
#ɲoɲu#,#nonu#
#numi#,#numi#
#soka#,#oka#
#oka#,#oka#
#ʔone#,#one#
#onom#,#ono#
#ʔodaʔ#,#ota#
#ʔoti#,#oti#
#soŋe#,#oŋe#
#bebe#,#pepe#
#bikit#,#piki#
#biko#,#piko#
#bibi#,#pipi#
#popok#,#popo#
#boŋi#,#poŋi#
#buliʔ#,#pule#
#bulut#,#pulu#
#bulut#,#pulu#
#pupuk#,#pupu#
#putu#,#putu#
#butu#,#putu#
#buu#,#puu#
#buŋa#,#puŋa#
#taʔe#,#tae#
#tape#,#tafe#
#salaŋ#,#tala#
#talise#,#talie#
#talos#,#talo#
#tanum#,#tanu#
#dʒaot#,#tao#
#tabu#,#tapu#
#taŋa#,#taŋa#
#tika#,#tika#
#dʒila#,#tila#
#tinaʔe#,#tinae#
#tibaŋ#,#tipa#
#topiʔ#,#tofi#
#topiʔ#,#tohi#
#toka#,#toka#
#toka#,#toka#
#tokon#,#toko#
#muri#,#tomuli#
#toto#,#toto#
#tuʔa#,#tua#
#tupa#,#tufa#
#tuli#,#tuli#
#tubuʔ#,#tupu#
#tupuʔ#,#tupu#
#tupuʔa#,#tupua#
#uso#,#uho#
#usu#,#uhu#
#uka#,#uka#
#ʔunap#,#una#
#ucan#,#uta#
#ʔutup#,#utu#
#wali#,#vali#
#ŋapa#,#ŋafa#
#ŋalu#,#ŋalu#
#ŋau#,#ŋau#
#ŋuru#,#ŋulu#
