input,output
#aduʔ#,#aduh#
#hebut#,#ambut#
#abut#,#ambut#
#ampun#,#ampun#
#anak#,#anak#
#hasaʔ#,#asah#
#hasek#,#asak#
#bahaʔ#,#baʔah#
#halem#,#halam#
#ʔapah#,#hampa#
#ʔampelas#,#hampalas#
#ʔapelas#,#hampalas#
#ʔempeŋ#,#hampaŋ#
#hamuk#,#hamuk#
#ʔanahaw#,#hanaw#
#hakut#,#hanɡkut#
#ʔatep#,#hatap#
#ʔiris#,#hiris#
#ʔis#,#his#
#ʔisep#,#hisap#
#ʔubudʒ#,#humbut#
#ʔuruŋ#,#huruŋ#
#imbaŋ#,#imbaŋ#
#hipaʔ#,#impa#
#luaŋ#,#luaŋ#
#tepak#,#tapak#
#tiup#,#tiup#
#tuʔah#,#tuha#
#hutek#,#utak#
#uŋap#,#uŋap#
