input,output
#ʔapedʒux#,#afero#
#aku#,#aho#
#ʔadʒaw#,#andro#
#ʔanibuŋ#,#anivona#
#lipet#,#difi#
#disdis#,#didj#
#lima#,#dimj#
#pa#,#fa#
#pidʒax#,#firi#
#puluʔ#,#folo#
#punaj#,#funi#
#pantuk#,#fantoka#
#patuk#,#fantoka#
#piliʔ#,#fidi#
#pitu#,#fito#
#pukpuk#,#fofoka#
#kali#,#hadj#
#kawit#,#havitra#
#kiskis#,#hihi#
#ɡisɡis#,#hihj#
#kita#,#hita#
#i#,#i#
#i#,#i#
#inu#,#ino#
#isa#,#isa#
#ti#,#ity#
#ia#,#izj#
#laju#,#lazo#
#liduŋ#,#lindona#
#dalem#,#lalina#
#danaw#,#ranu#
#depah#,#refi#
#sapaj#,#sampi#
#saksak#,#sasaka#
#seksek#,#sesika#
#suksuk#,#susuka#
#tebek#,#tevika#
#tutuh#,#toto#
#tuzuʔ#,#tundru#
#takut#,#tahotra#
#tepuk#,#tefoka#
#telu#,#telo#
#tenun#,#tenona#
#tektek#,#tetika#
#tuʔtuʔ#,#toto#
#bakuŋ#,#vahona#
#baliw#,#valu#
#bales#,#valj#
#batux#,#vato#
#buaʔ#,#voa#
#bukidʒ#,#vohitra#
#buŋa#,#vonj#
#bubu#,#vovo#
#buʔaja#,#voaj#
#bitbit#,#vivitra#
#buluʔ#,#volo#
#budʒeʔ#,#vorj#
#aba#,#aba#
#alaʔ#,#ala#
#enem#,#enina#
#ʔetut#,#etotra#
#isi#,#isj#
#ʔuledʒ#,#olitra#
#ʔudaŋ#,#orana#
#udʒuŋ#,#orona#
