input,output
#balu#,#baloʔ#
#ʔahelu#,#aluʔ#
#anak#,#anak#
#ʔanahaw#,#anaw#
#ʔanit#,#anit#
#ʔanit#,#anit#
#ʔapidʒ#,#apin#
#ʔapidʒ#,#apir#
#hapuj#,#apuj#
#hapuj#,#apuj#
#adʒan#,#ara#
#hadʒek#,#arek#
#aren#,#aren#
#hasaʔ#,#asa#
#ʔasiʔ#,#asi#
#ʔataj#,#ataj#
#ʔataj#,#atej#
#ʔatip#,#atip#
#abaŋ#,#avaŋ#
#ʔabu#,#avoʔ#
#awaŋ#,#awaŋ#
#aɲam#,#aɲam#
#aɲam#,#aɲam#
#bahaʔ#,#ba#
#balun#,#balun#
#baliw#,#baluj#
#badʒaʔ#,#bara#
#badʒaʔ#,#bara#
#baseʔ#,#basa#
#bataŋ#,#bataŋ#
#batu#,#batoʔ#
#beka#,#bekaʔ#
#beli#,#beleʔ#
#binehiʔ#,#beni#
#beraŋ#,#beraŋ#
#beŋaŋ#,#beŋaŋ#
#beŋit#,#beŋit#
#biʔaŋ#,#biaŋ#
#biŋkuŋ#,#bikuŋ#
#bahu#,#bu#
#buaʔ#,#bua#
#buhek#,#buk#
#buhek#,#buk#
#bukuh#,#bukoʔ#
#bulan#,#bulan#
#bulu#,#buloʔ#
#bunuʔ#,#bunu#
#buta#,#butaʔ#
#buʔbuʔ#,#buvu#
#bahu#,#buʔ#
#dalem#,#dalem#
#daʔan#,#daʔan#
#daʔan#,#daʔan#
#dahun#,#daʔun#
#dahun#,#daʔun#
#ʔaledʒaw#,#do#
#duha#,#duaʔ#
#deket#,#dəkət#
#ɡem#,#ɡem#
#eŋɡem#,#ɡem#
#sakaŋ#,#hakaŋ#
#huab#,#huam#
#huab#,#huav#
#suli#,#huleʔ#
#ias#,#iah#
#ileŋ#,#ileŋ#
#hinuʔ#,#inu#
#ipen#,#ipeʔ#
#ʔitaʔ#,#ita#
#itek#,#itek#
#ʔitem#,#item#
#ʔitiŋ#,#itiŋ#
#ibit#,#ivit#
#dian#,#dʒan#
#dian#,#dʒian#
#kaŋkaŋ#,#kakaŋ#
#kalaw#,#kalau#
#kamet#,#kamet#
#kamit#,#kamit#
#kanap#,#kanap#
#kaput#,#kaput#
#karis#,#karih#
#katu#,#katoʔ#
#kajaw#,#kajaw#
#kajaw#,#kajo#
#kahiw#,#kajoʔ#
#kahiw#,#kajoʔ#
#kahiw#,#kajoʔ#
#keleŋ#,#keleŋ#
#ekep#,#kep#
#kataman#,#ketamen#
#ketep#,#ketep#
#kikik#,#kikik#
#kulat#,#kulat#
#kuluŋ#,#kuluŋ#
#kutu#,#kutoʔ#
#lakaw#,#lakaw#
#laki#,#lakiʔ#
#lawaʔ#,#lawaʔ#
#lawaʔ#,#lawaʔ#
#laŋaw#,#laŋaw#
#laŋit#,#laŋit#
#lekas#,#lekah#
#leŋkaŋ#,#lekaŋ#
#lekaŋ#,#lekaŋ#
#lepaw#,#lepaw#
#lepet#,#lepet#
#lepaw#,#lepo#
#lesuŋ#,#lesuŋ#
#leŋen#,#leŋen#
#leŋen#,#leŋen#
#lisehaʔ#,#liah#
#liseʔah#,#liah#
#liaŋ#,#liaŋ#
#liaŋ#,#liaŋ#
#limbun#,#libun#
#diŋdiŋ#,#lidiŋ#
#limas#,#limah#
#limun#,#limun#
#luaʔ#,#lua#
#luŋkas#,#lukah#
#lukas#,#lukah#
#lumu#,#lumoʔ#
#ludaʔ#,#lura#
#aluten#,#luten#
#lubaŋ#,#luvaŋ#
#lubaŋ#,#luvaŋ#
#lumbuŋ#,#luvuŋ#
#liu#,#liu#
#manuk#,#manuk#
#mata#,#mataʔ#
#tama#,#namaʔ#
#tanem#,#nanəm#
#tanem#,#nanəm#
#taŋis#,#naŋih#
#teken#,#neken#
#tubuʔ#,#nubu#
#tumbuʔ#,#nubu#
#tutuŋ#,#nutuŋ#
#paladʒ#,#palan#
#palu#,#paloʔ#
#panas#,#panah#
#panaw#,#panau#
#panaw#,#panaw#
#epat#,#pat#
#hapedʒes#,#perah#
#epuk#,#puk#
#pulut#,#pulut#
#pulut#,#pulut#
#pusuʔ#,#pusu#
#pusuʔ#,#pusu#
#putul#,#putun#
#puʔun#,#puʔun#
#esak#,#sak#
#sakep#,#sakep#
#salaʔ#,#sala#
#salaʔ#,#sala#
#esuŋ#,#suŋ#
#zauʔ#,#suʔ#
#takaw#,#takau#
#talih#,#taliʔ#
#talun#,#talun#
#tama#,#tamaʔ#
#taneʔ#,#tana#
#taneʔ#,#tana#
#tanek#,#tanek#
#tanem#,#tanəm#
#tanem#,#tanəm#
#tahep#,#tap#
#tahep#,#tap#
#tapel#,#tapen#
#taŋis#,#taŋi#
#taŋis#,#taŋih#
#taʔaj#,#taʔe#
#taʔaj#,#taʔeʔ#
#taʔen#,#taʔən#
