input,output
#hapuj#,#ai#
#kahiw#,#ai#
#epat#,#ak#
#ʔahelu#,#alu#
#wani#,#ani#
#haŋin#,#ani#
#aren#,#aran#
#hadu#,#aru#
#bala#,#hla#
#baba#,#haha#
#balik#,#halik#
#balu#,#halu#
#batuk#,#hatu#
#batu#,#hatu#
#bahu#,#hau#
#buʔaja#,#hea#
#bekeladʒ#,#hele#
#beli#,#heli#
#betak#,#heta#
#beteŋ#,#hetan#
#binehiʔ#,#hini#
#betu#,#hotu#
#bunbun#,#huhun#
#bulan#,#hulan#
#bulu#,#hulu#
#suluʔ#,#hulu#
#buŋa#,#huna#
#bunuʔ#,#hunu#
#butus#,#hutus#
#ina#,#ina#
#kali#,#kali#
#kima#,#kima#
#lakaw#,#la#
#laledʒ#,#lale#
#ʔaledʒaw#,#leo#
#laʔia#,#lia#
#liaŋ#,#liaŋ#
#lilin#,#lilin#
#lumut#,#lumuk#
#mamaʔ#,#mama#
#manuk#,#manu#
#mata#,#mata#
#naŋuj#,#nani#
#ŋadʒan#,#nean#
#nunuk#,#nunu#
#kahu#,#o#
#panas#,#panas#
#baŋun#,#panu#
#putiʔ#,#puti#
#dalem#,#ralan#
#dateŋ#,#ratan#
#ribut#,#rihuk#
#dahun#,#ron#
#duha#,#rua#
#zalan#,#sala#
#zauʔ#,#so#
#sukun#,#sukun#
#taʔ#,#ta#
#taʔi#,#te#
#tebuh#,#tehu#
#teŋaʔ#,#tena#
#tiktik#,#titi#
#taʔun#,#ton#
#tuluŋ#,#tulun#
#tuna#,#tuna#
#tunu#,#tunu#
#ʔubi#,#uhi#
#kulit#,#ulik#
#puʔun#,#un#
#ʔuzan#,#usan#
#ʔutan#,#utan#
#wanan#,#wana#
#wanan#,#wana#
#baseʔ#,#wase#
