input,output
#anak#,#anaːt#
#hapuj#,#apuj#
#haŋin#,#aŋin#
#betu#,#beto#
#betu#,#betoʔ#
#buaʔ#,#buak#
#bubuŋ#,#bubuŋ#
#bulan#,#bulan#
#bulu#,#buluj#
#butuʔ#,#butuk#
#buntut#,#butut#
#daʔan#,#dakan#
#dahun#,#daʔon#
#zalan#,#dʒalan#
#ʔabu#,#kaboi#
#kahiw#,#kae#
#ʔasu#,#kahoi#
#ʔataj#,#kataj#
#ʔanitu#,#katoj#
#buʔaja#,#kaja#
#ʔadʒeŋ#,#kajaŋ#
#tuʔelan#,#kelan#
#ʔitem#,#ketam#
#ʔeti#,#ketoi#
#ʔeti#,#keteʔ#
#ʔubi#,#koboi#
#kulit#,#kolit#
#ʔulu#,#kolo#
#ʔulun#,#kolon#
#ʔuma#,#koma#
#ʔutan#,#kotan#
#ʔuzan#,#kudʒan#
#lawan#,#lawan#
#naŋuj#,#naŋoj#
#umpu#,#opo#
#hutek#,#otak#
#paʔit#,#paket#
#papan#,#papan#
#peɲu#,#peɲui#
#taʔun#,#takon#
#tuʔah#,#toka#
#tuʔah#,#tuka#
#idʒuŋ#,#joŋ#
