input,output
#hawak#,#aak#
#ʔasiʔ#,#ahiʔ#
#anak#,#anaʔ#
#ʔanitu#,#anitu#
#ʔatep#,#ataʔ#
#ʔataj#,#ate#
#ba#,#ba#
#baraŋ#,#ba#
#baraŋ#,#bara#
#balik#,#baliʔ#
#baluk#,#baluʔ#
#bikaʔ#,#bikaʔ#
#beŋkas#,#boŋka#
#buʔbuʔ#,#bubuʔ#
#bulan#,#bula#
#bukut#,#buŋkuʔ#
#duha#,#dua#
#hejaʔ#,#eaʔ#
#sakit#,#hakiʔ#
#sawa#,#hawa#
#sudʒa#,#hudʒa#
#suluʔ#,#huluʔ#
#supaʔ#,#hupaʔ#
#suŋkab#,#huŋkaʔ#
#sukab#,#huŋkaʔ#
#inum#,#inu#
#dilaʔ#,#dʒilaʔ#
#kasaw#,#kaho#
#kasaw#,#kaho#
#kahiw#,#kadʒu#
#kaskas#,#kaka#
#kudʒa#,#kudʒa#
#kunidʒ#,#kuni#
#kutu#,#kutu#
#laŋit#,#laŋiʔ#
#laŋkaw#,#laŋko#
#liku#,#liku#
#liu#,#liu#
#mama#,#mama#
#mata#,#mata#
#bulan#,#mula#
#muntaj#,#munte#
#nanaʔ#,#nanaʔ#
#nabuʔ#,#nawuʔ#
#binaŋa#,#naŋa#
#nunuk#,#nunuʔ#
#ʔelet#,#oloʔ#
#heʔe#,#oo#
#epat#,#opoʔ#
#ʔeti#,#oti#
#ʔetut#,#otuʔ#
#palu#,#palu#
#pataʔ#,#pataʔ#
#pekuʔ#,#pokuʔ#
#pusedʒ#,#puhe#
#pusuʔ#,#puhuʔ#
#dalem#,#rala#
#dalidʒ#,#raliʔ#
#dateŋ#,#rata#
#dahun#,#rau#
#siwa#,#sio#
#tasik#,#tahiʔ#
#tazem#,#tadʒa#
#talih#,#tali#
#taneʔ#,#tanaʔ#
#tau#,#tau#
#taŋkas#,#taŋkaʔ#
#taʔi#,#taʔi#
#tebuh#,#towu#
#tuʔah#,#tuʔa#
#ʔuzan#,#uda#
#ʔuledʒ#,#ule#
#ʔulu#,#ulu#
#unsek#,#uncoʔ#
#usek#,#uncoʔ#
#bala#,#wala#
#wani#,#wani#
#baɲaw#,#wano#
#bataŋ#,#wata#
#wati#,#wati#
#batu#,#watu#
#bintiʔ#,#winti#
#bities#,#witiʔ#
#birbir#,#wiwiʔ#
#beŋel#,#woŋo#
#buaʔ#,#wuaʔ#
#bukuh#,#wuku#
#bulan#,#wula#
#bulu#,#wulu#
#buni#,#wuni#
#buntu#,#wuntu#
#budʒeʔ#,#wuraʔ#
#buŋa#,#wuŋa#
#ŋaŋa#,#ŋaŋa#
