input,output
#ʔalat#,#alat#
#ʔalaŋ#,#alaŋ#
#ampal#,#ampal#
#apid#,#apid#
#ataʔ#,#ataʔ#
#ajak#,#ajak#
#ʔajam#,#ajam#
#ajaw#,#ajew#
#bacak#,#basak#
#basbas#,#basbas#
#bacuk#,#basuk#
#basuŋ#,#basuŋ#
#bataʔ#,#bataʔ#
#baŋaʔ#,#baŋaʔ#
#baŋkaw#,#baŋkew#
#bakaka#,#bekaka#
#bekadʒ#,#bekar#
#balantik#,#belatik#
#balatik#,#belatik#
#balatuŋ#,#belatuŋ#
#benehiʔ#,#beniʔ#
#balian#,#bejlan#
#bilin#,#bilin#
#binti#,#binti#
#bituk#,#bituk#
#biŋbiŋ#,#biŋbiŋ#
#buhis#,#buhis#
#buŋkus#,#bukus#
#bulaŋ#,#bulaŋ#
#buleŋ#,#buluŋ#
#buriŋ#,#buriŋ#
#budiŋ#,#buriŋ#
#busuŋ#,#busuŋ#
#bubud#,#buvur#
#buŋet#,#buŋet#
#buŋaw#,#buŋew#
#buɡis#,#buɣis#
#buʔu#,#buʔu#
#dakdak#,#dakdak#
#dapit#,#dapit#
#zutzut#,#dudut#
#ekaŋ#,#ekaŋ#
#emun#,#emun#
#anapiŋ#,#enapiŋ#
#ʔeraŋ#,#eraŋ#
#eden#,#eren#
#ʔaruʔan#,#eruʔan#
#ebuʔ#,#evuʔ#
#ɡaliŋ#,#ɡaliŋ#
#ɡampuŋ#,#ɡampuŋ#
#ɡapuŋ#,#ɡampuŋ#
#ɡanti#,#ɡanti#
#ɡawaŋ#,#ɡawaŋ#
#ɡaluɡaʔ#,#ɡeluɣaʔ#
#ɡeraʔ#,#ɡeraʔ#
#ɡiʔed#,#ɡiʔed#
#ɡujud#,#ɡujud#
#hambeŋ#,#haveŋ#
#heluŋ#,#heluŋ#
#hiket#,#hiket#
#hilu#,#hilu#
#hurus#,#hurus#
#ilu#,#ilu#
#ʔinit#,#init#
#ʔinut#,#inut#
#kahir#,#kahir#
#ɡasiŋ#,#kasiŋ#
#kaban#,#kavan#
#kawaʔ#,#kawaʔ#
#kawiŋ#,#kawiŋ#
#kebel#,#kebel#
#kalasaɡ#,#kelasaɡ#
#keleŋ#,#keleŋ#
#kemkem#,#kemkem#
#kempis#,#kepis#
#kepis#,#kepis#
#kerud#,#kerud#
#kasuli#,#kesili#
#keskes#,#keskes#
#keti#,#keti#
