input,output
#ʔapedʒux#,#ampru#
#ʔabu#,#awu#
#ʔaɲud#,#aɲut#
#ʔia#,#ia#
#ʔinep#,#inep#
#ʔules#,#ules#
#aku#,#aku#
#alap#,#alap#
#asu#,#asu#
#ʔauŋ#,#awuŋ#
#baliw#,#bali#
#baliw#,#wali#
#baseʔ#,#basah#
#bedʒbedʒ#,#bebed#
#beŋbeŋ#,#bebeŋ#
#belaʔ#,#belah#
#buʔaja#,#buhaja#
#dalem#,#dalem#
#deles#,#deles#
#enem#,#enem#
#ʔetut#,#entut#
#ɡuŋɡuŋ#,#ɡuŋɡuŋ#
#ʔuluh#,#hulu#
#ʔudaŋ#,#huraŋ#
#ʔudip#,#hurip#
#ʔuaj#,#hwi#
#i#,#i#
#ʔidus#,#irus#
#isi#,#isi#
#zawa#,#dʒawa#
#kaka#,#kaka#
#kali#,#kali#
#kawit#,#kawit#
#kuden#,#kuren#
#kuris#,#kuris#
#lama#,#lama#
#lamlam#,#lamlam#
#litlit#,#lilit#
#lima#,#lima#
#lahud#,#lor#
#lubaŋ#,#luwaŋ#
#manuk#,#manuk#
#pacek#,#pacek#
#paheku#,#paku#
#palu#,#palu#
#panaʔ#,#panah#
#padʒaj#,#pari#
#pasu#,#pasu#
#peɲu#,#peɲu#
#pitpit#,#pipit#
#pidʒax#,#pira#
#pidʒax#,#piraŋ#
#pitu#,#pitu#
#ʔapucuk#,#pucuk#
#punti#,#punti#
#putun#,#puʈul#
#di#,#ri#
#sabaj#,#sambe#
#saŋedaj#,#saɳɖe#
#ʔasepa#,#sepa#
#si#,#si#
#sikux#,#siku#
#susu#,#susu#
#suksuk#,#susuk#
#seksek#,#səksək#
#seksek#,#səsək#
#takut#,#takut#
#tastas#,#tatas#
#tebek#,#tewek#
#tubah#,#tuba#
#tudiŋ#,#tudiŋ#
#tebek#,#tuwek#
#telu#,#təlu#
#tektek#,#tətək#
#ʔuledʒ#,#uler#
#utaʔ#,#utah#
#bakuŋ#,#wakuŋ#
#bales#,#wales#
#batux#,#watu#
#baba#,#wawa#
#belaʔ#,#welah#
#beties#,#wetis#
#bilaŋ#,#wilaŋ#
#bukidʒ#,#wukir#
#buluʔ#,#wuluh#
#bubu#,#wuwuː#
#buŋa#,#wuŋa#
#buaʔ#,#wwah#
#buhet#,#wuːt#
#ŋadʒan#,#ŋaran#
#detdet#,#ɖeɖet#
#depah#,#ɖəpa#
