input,output
#hapuj#,#ai#
#wakas#,#aka#
#halas#,#alas#
#aɲam#,#an#
#anak#,#ana#
#panas#,#anas#
#hasek#,#asa#
#epat#,#at#
#atel#,#atal#
#kahiw#,#au#
#balik#,#balik#
#baruk#,#baruk#
#belat#,#belat#
#busuk#,#busu#
#babaʔ#,#hah#
#baʔbaʔ#,#haha#
#baɲaw#,#han#
#beli#,#hesi#
#binehiʔ#,#hini#
#banua#,#hnu#
#buaʔ#,#hua#
#buŋa#,#huna#
#bulu#,#husi#
#laledʒ#,#lal#
#leŋen#,#lena#
#mata#,#mata#
#miɲak#,#min#
#muda#,#mura#
#nabek#,#naha#
#nuka#,#nua#
#ʔu#,#o#
#daki#,#rai#
#dalem#,#rala#
#riba#,#riha#
#duha#,#ru#
#dujuŋ#,#rui#
#sabaŋ#,#sah#
#salaʔ#,#sal#
#siwa#,#siu#
#luheʔ#,#su#
#suli#,#sus#
#suluʔ#,#sus#
#tapel#,#tabal#
#tasak#,#tasak#
#tasik#,#tasi#
#taŋan#,#taŋa#
#teken#,#tekan#
#tiked#,#tika#
#ʔatimun#,#timun#
#taliŋa#,#tlia#
#tumpel#,#tubal#
#tunu#,#tun#
#tebuh#,#teh#
#ʔubi#,#uh#
#ʔuzan#,#us#
#pusedʒ#,#usa#
#ʔulu#,#usu#
#kutu#,#ut#
#wanan#,#wan#
