input,output
#ʔabu#,#abəw#
#anak#,#anak#
#hapuj#,#apuj#
#buʔaja#,#baja#
#buaʔ#,#buaʔ#
#diŋdiŋ#,#didiəŋ#
#duha#,#duəh#
#dahun#,#dəʔun#
#zauʔ#,#dʒauʔ#
#kahiw#,#kajəw#
#kahu#,#kaʔaw#
#kulit#,#kulit#
#kutu#,#kutəw#
#manuk#,#manuək#
#meɲak#,#meɲiʔ#
#epat#,#pat#
#pusedʒ#,#pusəd#
#putiʔ#,#putiʔ#
#putiʔ#,#putəiʔ#
#sai#,#saj#
#taneʔ#,#tanaʔ#
#taʔun#,#taʔun#
#taʔu#,#taʔəw#
#taʔu#,#təʔəw#
#tuʔah#,#tuaʔ#
#tuɡtuɡ#,#tutuɡ#
#tuʔah#,#tuʔa#
#talih#,#tələj#
#tawa#,#tətawa#
#taʔun#,#təʔun#
#ʔubi#,#ubəj#
#ʔuledʒ#,#uləd#
#ʔulu#,#uləw#
#ɲatuʔ#,#ɲatəuʔ#
