input,output
#ʔalo#,#alo#
#baka#,#baɡa#
#ʔenop#,#eno#
#papine#,#fafine#
#pituʔin#,#fisiu#
#katou#,#ɡatpi#
#kape#,#ɡave#
#kopu#,#ɡovu#
#saman#,#hama#
#siba#,#hiba#
#lasa#,#laha#
#lako#,#laxo#
#laŋo#,#laŋo#
#mai#,#mai#
#mwaloʔ#,#malo#
#mamata#,#mamata#
#matakut#,#mataxu#
#mate#,#mate#
#maja#,#mea#
#napok#,#nafo#
#ʔone#,#one#
#onom#,#ono#
#rua#,#rua#
#sipi#,#sivi#
#takere#,#taɡere#
#tapola#,#tavola#
#toʔa#,#toa#
#tura#,#tura#
#pidʒo#,#viho#
#kaju#,#xai#
#kumʷi#,#xumʷi#
#ŋapa#,#ŋafa#
