input,output
#dalu#,#ndaru#
#luʔar#,#lua#
#ʔataj#,#ade#
#hapuj#,#afi#
#anak#,#ana#
#ʔapit#,#api#
#hapun#,#apu#
#halas#,#ara#
#huadʒi#,#ari#
#ʔahelu#,#aru#
#hasek#,#asi#
#ati#,#ati#
#ʔatep#,#ati#
#awaj#,#awe#
#ʔabu#,#awu#
#haŋin#,#aŋi#
#baba#,#baba#
#biʔaŋ#,#biʔa#
#siwa#,#civi#
#taneʔ#,#dana#
#ʔatimun#,#dimu#
#tultul#,#dudu#
#tumpus#,#dumpu#
#tupus#,#dumpu#
#tuna#,#duna#
#apeled#,#firi#
#peɲu#,#fonu#
#puʔun#,#fuʔu#
#kahiw#,#hadʒu#
#kutu#,#hudu#
#kulit#,#huri#
#inda#,#ida#
#hilat#,#ila#
#ʔilaw#,#ilo#
#ina#,#ina#
#isu#,#iso#
#kanari#,#kanari#
#kawaj#,#kawe#
#kilat#,#kila#
#kiŋkiŋ#,#kiŋɡi#
#kedeŋ#,#kiɗi#
#laŋit#,#laŋi#
#leŋkaʔ#,#leka#
#lekaʔ#,#leka#
#nilaw#,#lino#
#lepet#,#lipi#
#ʔaledʒaw#,#liro#
#mata#,#mada#
#mamaʔ#,#mama#
#miɲak#,#mina#
#nara#,#nara#
#anaduʔ#,#naru#
#nihawa#,#nawa#
#ʔaninu#,#ninu#
#nipis#,#nipi#
#ɲepɲep#,#nono#
#talaʔ#,#ntara#
#ʔu#,#o#
#eŋkel#,#oko#
#ʔuma#,#oma#
#embeŋ#,#ombo#
#empu#,#ompu#
#pampa#,#pampa#
#papa#,#pampa#
#paniki#,#panihi#
#paʔit#,#paʔi#
#dapet#,#rapu#
#laʔia#,#rea#
#ditaʔ#,#rida#
#ʔanilaw#,#rino#
#diŋa#,#riŋa#
#dahun#,#roʔo#
#rusuk#,#rusu#
#saɡu#,#saɡu#
#salaʔ#,#sala#
#sawa#,#sawa#
#saŋa#,#saŋa#
#sumpit#,#sumpi#
#talih#,#tari#
#taŋɡa#,#taŋɡa#
#taʔi#,#taʔi#
#tepak#,#topa#
#tuʔah#,#tua#
#upaʔ#,#ufa#
#ukir#,#uki#
#ʔulu#,#ulu#
#ema#,#uma#
#hubun#,#umbu#
#epat#,#upa#
#ʔuzan#,#ura#
#ʔuruŋ#,#uru#
#ʔulu#,#uru#
#ʔubi#,#uwi#
#bekeladʒ#,#vira#
#batu#,#wadu#
#baliw#,#wali#
#wanan#,#wana#
#wada#,#wara#
#balik#,#wari#
#babaʔ#,#wawa#
#waŋkaŋ#,#waŋɡa#
#bikaʔ#,#wika#
#biŋku#,#wiku#
#bila#,#wila#
#bities#,#wisi#
#beteŋ#,#witi#
#bekuk#,#woku#
#betu#,#wotu#
#bahu#,#wou#
#buaʔ#,#wua#
#butuʔ#,#wudu#
#bulan#,#wura#
#bulu#,#wuru#
#ŋadʒan#,#ŋara#
#katu#,#ŋɡadu#
#besaʔ#,#ɓeca#
#bilik#,#ɓili#
#biŋkuŋ#,#ɓiŋɡu#
#berber#,#ɓiɓi#
#biʔak#,#ɓiʔa#
#buri#,#ɓuri#
#buŋa#,#ɓuŋa#
#adani#,#ɗeni#
#diŋdiŋ#,#ɗindi#
#zauʔ#,#ɗoʔo#
#duha#,#ɗua#
