input,output
#ikamen#,#kamen#
#ʔa#,#a#
#ʔa#,#a#
#habuŋ#,#aboŋ#
#ʔalibuŋbuŋ#,#aliboŋboŋ#
#anad#,#anad#
#aŋal#,#aŋal#
#ʔaŋesu#,#aŋso#
#ʔaŋsu#,#aŋso#
#baʔak#,#baak#
#bahaj#,#baaj#
#baɡbaɡ#,#baɡbaɡ#
#baɡut#,#baɡot#
#bakaʔ#,#baka#
#bakal#,#bakal#
#bakbak#,#bakbak#
#bakes#,#bakes#
#balituk#,#balitok#
#balud#,#balod#
#banaba#,#banaba#
#basul#,#basol#
#bateŋ#,#bateŋ#
#batiŋtiŋ#,#batiŋtiŋ#
#bajaʔ#,#baja#
#bajuɡ#,#bajoɡ#
#baŋaʔ#,#baŋa#
#betek#,#betek#
#bilaŋ#,#bilaŋ#
#bitu#,#bito#
#budbud#,#bodbod#
#bukbuk#,#bokbok#
#buluɡ#,#boloɡ#
#buŋbuŋ#,#boŋboŋ#
#labaw#,#dabaw#
#laman#,#daman#
#laneb#,#daneb#
#lapid#,#dapid#
#lapid#,#dapid#
#lawit#,#dawit#
#lebeŋ#,#debeŋ#
#diken#,#diken#
#linawa#,#dinawa#
#linis#,#dinis#
#lipaj#,#dipaj#
#rubaŋ#,#dobaŋ#
#lubaŋ#,#dobaŋ#
#lubid#,#dobid#
#lukluk#,#dokdok#
#lukut#,#dokot#
#lutaʔ#,#dota#
#ekal#,#ekal#
#enat#,#enat#
#ikut#,#ikot#
#ipus#,#ipos#
#iwad#,#iwad#
#iut#,#ijot#
#kabaŋ#,#kabaŋ#
#kabelit#,#kabdit#
#kablit#,#kabdit#
#kalaba#,#kalaba#
#kalebit#,#kalbit#
#kalbit#,#kalbit#
#kapus#,#kapos#
#kawitan#,#kawitan#
#kimat#,#kimat#
#kubut#,#kobot#
#kupas#,#kopas#
#kupit#,#kopit#
#kurit#,#korit#
#ukit#,#okit#
#unuŋ#,#onoŋ#
#uŋut#,#oŋot#
#huŋut#,#oŋot#
#palpal#,#palpal#
#palpal#,#palpal#
#paspas#,#paspas#
#pekel#,#pekel#
#piŋkiʔ#,#piŋki#
#pudaw#,#polaw#
#puli#,#poli#
#puedʒ#,#poweɡ#
#puŋan#,#poŋan#
#sabuŋ#,#saboŋ#
#sadsad#,#sadsad#
#saʔeɡid#,#saɡid#
#saʔɡid#,#saɡid#
#sakaʔaŋ#,#sakaaŋ#
#salup#,#salop#
#sapad#,#sapad#
#sarut#,#sarot#
#saŋi#,#saŋi#
#daɡus#,#ʃaɡos#
#dakel#,#ʃakel#
#dalukap#,#ʃalokap#
#dapdap#,#ʃapʃap#
#dajaw#,#ʃajaw#
#deldel#,#ʃelʃel#
#ditaʔ#,#ʃita#
#dunuŋ#,#ʃonoŋ#
#sibaj#,#sibej#
#sikad#,#sikad#
#sikap#,#sikap#
#sipiŋ#,#sipiŋ#
#siraʔ#,#sira#
#siam#,#sijam#
#subeliʔ#,#sobdi#
#subliʔ#,#sobdi#
#sudsud#,#sodsod#
#sunsun#,#sonson#
#suŋsuŋ#,#soŋsoŋ#
#suʔekip#,#soʔkip#
#suʔkip#,#soʔkip#
#taʔ#,#ta#
#takaŋ#,#takaŋ#
#takeba#,#takba#
#takba#,#takba#
#taked#,#taked#
#tambaŋ#,#tambaŋ#
#tampipiʔ#,#tampipi#
#taʔepaw#,#tapew#
#taʔpaw#,#tapew#
#tapuk#,#tapok#
#tapuŋ#,#tapoŋ#
#tajaw#,#tajaw#
#taʔenaj#,#taʔnaj#
#taʔnaj#,#taʔnaj#
#taʔenaj#,#tanʔaj#
#taʔnaj#,#tanʔaj#
#teŋel#,#teŋed#
#tikebuʔ#,#tikbo#
#tikbuʔ#,#tikbo#
#tikelup#,#tikdop#
#tiklup#,#tikdop#
#timtim#,#timtim#
#tipun#,#tipon#
#tiŋal#,#tiŋal#
#tudem#,#todem#
#tukak#,#tokak#
#tuleŋ#,#toleŋ#
#walwal#,#walwal#
#jawjaw#,#jawjaw#
#hatuŋ#,#ʔatuŋ#
#alujun#,#adojon#
#amuŋ#,#amoŋ#
#apa#,#apa#
