input,output
#a#,#a#
#walu#,#ai#
#babaw#,#bab#
#batux#,#bad#
#bituʔen#,#btuʔ#
#bubu#,#bub#
#bukidʒ#,#bukl#
#buŋa#,#buŋ#
#buaʔ#,#buuʔ#
#bedʒbedʒ#,#bəsebəs#
#tubah#,#dub#
#takut#,#dakt#
#tuduʔ#,#durəʔ#
#manuk#,#malk#
#buŋa#,#omuŋ#
#bedʒbedʒ#,#oməsebəs#
#waʔaj#,#oaʔ#
#zalan#,#rajl#
#susu#,#tut#
#teda#,#tər#
#paen#,#uaol#
#pitu#,#wið#
#ŋipen#,#wiŋəl#
#puki#,#wuk#
#peɲu#,#wəl#
#aku#,#ŋak#
#ŋadʒan#,#ŋakl#
#ita#,#ŋid#
#ia#,#ŋii#
#ʔabu#,#ʔab#
#ʔidus#,#ʔirt#
#ʔetut#,#ʔold#
#ʔumaŋ#,#ʔum#
#ʔuluh#,#ʔui#
#ʔuledʒ#,#ʔuis#
