input,output
#a#,#a#
#amax#,#ama#
#asu#,#asu#
#buŋa#,#buŋa#
#babaw#,#haha#
#babuj#,#hahu#
#beli#,#heli#
#betik#,#heti#
#buaʔ#,#hua#
#buʔaja#,#hua#
#buaʔ#,#hua#
#bubu#,#huhu#
#ina#,#ina#
#ʔidus#,#irus#
#daja#,#la#
#zalan#,#lalan#
#lahud#,#lau#
#depah#,#lea#
#lima#,#lima#
#manuk#,#manu#
#sa#,#sa#
#seksek#,#sese#
#sikux#,#siku#
#susu#,#susu#
#suksuk#,#susu#
#tata#,#tata#
#telu#,#telu#
#tektek#,#tete#
#titik#,#titi#
#tubah#,#tuha#
#kuden#,#ule#
#puki#,#uʔi#
#walu#,#walu#
#ʔapedʒux#,#welu#
#peɲu#,#wenu#
