input,output
#hasaʔ#,#asa#
#hasaŋ#,#asaŋa#
#ʔazaj#,#ase#
#ba#,#ba#
#bukal#,#bukala#
#bunat#,#buna#
#kinit#,#kiniti#
#laŋit#,#laŋite#
#laŋaw#,#laŋo#
#laŋen#,#laŋono#
#lakaw#,#laɣo#
#luaʔ#,#lua#
#lumut#,#lumutu#
#mata#,#mata#
#miʔmiʔ#,#mimi#
#na#,#na#
#nepuʔ#,#novu#
#nusa#,#nusa#
#barabara#,#palapala#
#batu#,#patu#
#bukuh#,#puku#
#buta#,#puta#
#butuʔ#,#putu#
#butun#,#putu#
#kasaw#,#ʔaso#
#kulit#,#ʔuliti#
#duha#,#rua#
#siwa#,#sia#
#talih#,#tali#
#talisaj#,#talise#
#taʔaj#,#tea#
#tian#,#tia#
#tuli#,#tuli#
#ʔulu#,#ulu#
#ʔubi#,#uvi#
#pirit#,#viri#
#buaʔ#,#vua#
#punaŋ#,#vuna#
#kabut#,#ŋɡabu#
