input,output
#ʔatop#,#adʒ#
#ʔasu#,#at#
#aŋin#,#aɲ#
#bubu#,#bib#
#bubu#,#bib#
#boŋi#,#boŋ#
#buto#,#bwidʒe#
#bula#,#bwil#
#ranum#,#daːn#
#apon#,#eo#
#dʒalan#,#iaɭ#
#pituʔun#,#idʒu#
#tabu#,#dʒabwi#
#toko#,#dʒok#
#kaju#,#kaːaːn#
#kaju#,#kejin#
#mana#,#manman#
#mate#,#medʒ#
#meme#,#meme#
#masakit#,#metak#
#matolu#,#midʒel#
#mamata#,#mmedʒ#
#ʔumwaŋ#,#omw#
#pasa#,#pat#
#bekas#,#pektaan#
#piro#,#piro#
#pidʒir#,#pitʷ#
#rato#,#radʒ#
#rua#,#ruo#
#sake#,#tak#
#sipo#,#tew#
#puat#,#uwe#
#waɡa#,#wa#
#pukot#,#wek#
#ʔunap#,#wun#
#ule#,#woːl#
#uton#,#wuːdʒ#
#ʔutup#,#wuːdʒ#
#ule#,#wuːle#
#padʒale#,#jetal#
#pidʒiko#,#jiteʔ#
#pasu#,#jaːt#
#padʒu#,#aːt#
#acan#,#aːt#
#ŋau#,#ŋa#
#ŋipon#,#ŋij#
