input,output
#ʔabu#,#abu#
#aku#,#aku#
#asu#,#asu#
#au#,#auʔ#
#babuj#,#babi#
#bakuŋ#,#bakoŋ#
#baliw#,#baliʔ#
#baseʔ#,#basah#
#batux#,#batu#
#buʔaja#,#baja#
#beŋbeŋ#,#bebaŋ#
#belaʔ#,#belah#
#balaŋa#,#belaŋaʔ#
#beli#,#beli#
#beties#,#betis#
#betuŋ#,#betoŋ#
#bitbit#,#bibit#
#buaʔ#,#buah#
#bubu#,#bubu#
#bukidʒ#,#bukit#
#buluʔ#,#buloh#
#bukas#,#buŋkas#
#dadʒem#,#dadam#
#daki#,#dakiʔ#
#dalem#,#dalam#
#danaw#,#danaw#
#detdet#,#dedat#
#demdem#,#dendam#
#depah#,#depaʔ#
#di#,#di#
#dilaʔ#,#dilah#
#ʔapedʒux#,#empedu#
#ʔepit#,#empit#
#ɡaraŋ#,#ɡaraŋ#
#ɡajaŋ#,#ɡajaŋ#
#ɡetil#,#ɡetil#
#ɡusi#,#ɡusiʔ#
#ɡemɡem#,#ɡəŋɡam#
#ia#,#ia#
#ʔia#,#ia#
#ʔidʒap#,#idap#
#ina#,#ina#
#isi#,#isiʔ#
#zalan#,#dʒalai#
#zawa#,#dʒawaʔ#
#kabit#,#kabit#
#kawil#,#kail#
#kak#,#kak#
#kaka#,#kaka#
#kalih#,#kali#
#ŋajaw#,#kajaw#
#kilala#,#kelala#
#kelem#,#kelam#
#kepit#,#kepit#
#keret#,#kerat#
#kiaw#,#kiau#
#kiskis#,#kikis#
#kiluŋ#,#kiloŋ#
#kupit#,#kupit#
#kurap#,#kurap#
#kuris#,#kuris#
#lama#,#lamaʔ#
#lahud#,#laut#
#laju#,#lajuʔ#
#laŋaw#,#laŋau#
#likaw#,#likaw#
#lipas#,#limpas#
#liduŋ#,#lindoŋ#
#lubaŋ#,#lubaŋ#
#ludaʔ#,#ludah#
#manuk#,#manok#
#enem#,#nam#
#tepik#,#nempik#
#tenun#,#nenun#
#ʔanibuŋ#,#niboŋ#
#padʒaj#,#padi#
#palu#,#paluʔ#
#pasek#,#pasak#
#pasuk#,#pasok#
#pariuk#,#periok#
#peɲu#,#peɲuʔ#
#piliʔ#,#pilih#
#piluk#,#pilok#
#ʔapucuk#,#pucok#
#puki#,#pukiʔ#
#punaj#,#punai#
#putun#,#puntul#
#saŋedaj#,#sadai#
#ʔasepa#,#sepa#
#sikux#,#siku#
#sipit#,#sipit#
#seŋet#,#səŋat#
#tebek#,#tebak#
#teda#,#tedaʔ#
#tekuŋ#,#tekoŋ#
#telu#,#telu#
#tenun#,#tenun#
#tektek#,#tetak#
#tubah#,#tubai#
#tuduʔ#,#tudoh#
#tuzuʔ#,#tudʒoh#
#turis#,#turis#
#tusuk#,#tusok#
#suksuk#,#tusok#
#susu#,#tusu#
#tuktuk#,#tutok#
#tukul#,#tuŋkul#
#ʔudaŋ#,#udaŋ#
#ʔudaŋ#,#undaŋ#
#ʔuledʒ#,#ulat#
#ulaw#,#ulau#
#ulaŋ#,#ulaŋ#
#ʔuluh#,#ulu#
#ʔumaŋ#,#umaŋ#
#ʔupuŋ#,#upoŋ#
#ɲamɲam#,#ɲamɲam#
#seŋet#,#ɲəŋat#
