input,output
#amax#,#ama#
#ʔanibuŋ#,#anibuŋ#
#ʔanup#,#anup#
#paen#,#appan#
#apu#,#apo#
#ʔasawa#,#asawa#
#ai#,#aj#
#ai#,#aj#
#aja#,#aja#
#badʒaʔ#,#baɡa#
#batux#,#bato#
#bedʒbedʒ#,#bedbed#
#betak#,#bettak#
#beŋbeŋ#,#beŋbeŋ#
#bitbit#,#bitbit#
#bituʔen#,#bituen#
#biʔel#,#biel#
#bulaw#,#bolaw#
#bunabun#,#bonobon#
#buaʔ#,#boa#
#buʔaja#,#buaja#
#babuj#,#babuj#
#bakaŋ#,#bakaŋ#
#bakuŋ#,#bakoŋ#
#bales#,#bales#
#bilaŋ#,#bilaŋ#
#bubu#,#bobo#
#buluʔ#,#bolo#
#buŋa#,#buŋa#
#daŋdaŋ#,#dadaŋ#
#dakep#,#dakep#
#dalajap#,#dalajap#
#demdem#,#demdem#
#depah#,#deppa#
#dukduk#,#dukdok#
#zalan#,#dalan#
#dalem#,#dalem#
#danaw#,#danaw#
#zawa#,#dawa#
#daja#,#daja#
#dilaʔ#,#dila#
#ʔemʔem#,#emʔem#
#ɡemel#,#ɡammal#
#ɡajaŋ#,#ɡajaŋ#
#ɡemɡem#,#ɡemɡem#
#ɡisɡis#,#ɡisiɡis#
#ɡusɡus#,#ɡusuɡus#
#sibu#,#isbo#
#iŋepis#,#iŋpis#
#iŋpis#,#iŋpis#
#kawajan#,#kawajan#
#kezem#,#kerrem#
#keŋkeŋ#,#keŋkeŋ#
#kiaw#,#kiaw#
#kuŋkuŋ#,#koŋkoŋ#
#kukuŋ#,#koŋkoŋ#
#kuŋkuŋ#,#kuŋkoŋ#
#kaka#,#kaka#
#kakak#,#kakak#
#kalaw#,#kalaw#
#kali#,#kali#
#kalih#,#kali#
#karus#,#karus#
#kawit#,#kawit#
#kita#,#kita#
#kudis#,#kudis#
#kudkud#,#kukod#
#laŋu#,#laŋo#
#likud#,#likud#
#lima#,#lima#
#liduŋ#,#lindoŋ#
#lahud#,#laud#
#lawa#,#lawa#
#lawas#,#lawas#
#lubuk#,#lubok#
#luludʒ#,#lulod#
#sapaw#,#mannapaw#
#manuk#,#manok#
#mesmes#,#mesmes#
#mulmul#,#molmol#
#mudʒiŋ#,#muɡiŋ#
#mula#,#mula#
#nemnem#,#nemnem#
#ni#,#ni#
#nu#,#no#
#ŋadʒan#,#naɡan#
#ɲamɲam#,#nanam#
#ʔuman#,#oman#
#pakpak#,#pakpak#
#paheku#,#pako#
#pariuk#,#pariok#
#paid#,#paid#
#pekpek#,#pekpek#
#pespes#,#pespes#
#peceʔ#,#pessa#
#pidʒpidʒ#,#pidipid#
#pikpik#,#pikpik#
#pispis#,#pispis#
#pisel#,#pisel#
#pitu#,#pito#
#piak#,#piak#
#pudu#,#pudo#
#pukpuk#,#pukpok#
#putun#,#putol#
#padʒaj#,#paɡaj#
#paliʔ#,#pali#
#panaʔ#,#pana#
#puluʔ#,#pulo#
#punaj#,#punaj#
#putun#,#putol#
#tastas#,#satsat#
#seŋseŋ#,#seŋseŋ#
#si#,#si#
#saʔit#,#sait#
#saleŋ#,#saleŋ#
#sapaw#,#sapaw#
#sikux#,#siko#
#sipit#,#sipit#
#susu#,#suso#
#tabukul#,#tabukol#
#telu#,#tallo#
#tektek#,#tektek#
#tepeŋ#,#teppeŋ#
#tuktuk#,#toktok#
#tuʔtuʔ#,#toto#
#tuzuʔ#,#tudo#
#tuktuk#,#tuktok#
#tulani#,#tulali#
#taku#,#tako#
#tapus#,#tapus#
#timidʒ#,#timid#
#tubah#,#tuba#
#tuduʔ#,#tudo#
#tukud#,#tukod#
#tata#,#tata#
#ʔudip#,#udip#
#ʔudaŋ#,#udaŋ#
#ʔudʒiŋ#,#uɡiŋ#
#ʔules#,#ules#
#ʔumah#,#uma#
#walu#,#walo#
#witiwit#,#witiwit#
#wiŋawiŋ#,#wiŋiwiŋ#
#ian#,#jan#
#ʔaɲud#,#anud#
#ʔabu#,#abo#
#alaʔ#,#ala#
#amin#,#amin#
#asu#,#aso#
#ʔatip#,#atip#
#aŋaj#,#aŋaj#
#haŋut#,#aŋot#
#ʔidus#,#idos#
#ʔipit#,#ipit#
#ʔuluh#,#olo#
#ulaw#,#ulaw#
#ʔuledʒ#,#uleɡ#
#ʔumaŋ#,#umaŋ#
#utaʔ#,#uta#
#ŋabŋab#,#ŋabŋab#
#ŋawŋaw#,#ŋawŋaw#
#ŋerŋer#,#ŋerŋer#
#ŋesŋes#,#ŋesŋes#
#ŋetŋet#,#ŋetŋet#
#ŋipen#,#ŋipən#
#ŋusŋus#,#ŋusuŋos#
