input,output
#ʔabu#,#abo#
#hadu#,#adu#
#ʔahelu#,#alʔo#
#hameti#,#amti#
#anak#,#anak#
#ʔanibuŋ#,#anibuŋ#
#ʔanitu#,#anito#
#ʔampelas#,#appas#
#ʔapelas#,#appas#
#apeled#,#apped#
#hampil#,#apil#
#ampu#,#apo#
#ʔatep#,#atep#
#bali#,#bali#
#baseʔ#,#basa#
#batu#,#bato#
#bahaj#,#baaj#
#bahi#,#bai#
#bedʒbedʒ#,#bedbed#
#bekbek#,#bekbek#
#berber#,#belbel#
#betas#,#besat#
#betbet#,#betbet#
#betak#,#betak#
#biladʒ#,#bilaɡ#
#bilak#,#bilak#
#bitas#,#bissat#
#bitil#,#bitil#
#buaʔ#,#boa#
#buhek#,#book#
#bubun#,#bubun#
#bubuŋ#,#bubuŋ#
#buluŋ#,#buluŋ#
#buʔaja#,#buaja#
#bahi#,#bai#
#baraŋ#,#balaŋ#
#baɲaw#,#banaw#
#bataŋ#,#bataŋ#
#batek#,#batek#
#bulan#,#buan#
#buhat#,#buat#
#buta#,#buta#
#buteŋ#,#buteŋ#
#buŋa#,#buŋa#
#dalikan#,#dalikan#
#danum#,#danum#
#dapan#,#dapan#
#dateŋ#,#dateŋ#
#deket#,#deket#
#diŋdiŋ#,#diŋdiŋ#
#duha#,#dua#
#daki#,#daki#
#dilaʔ#,#dila#
#heban#,#eban#
#eŋkeb#,#ekeb#
#ekeb#,#ekeb#
#ʔeneb#,#eneb#
#ʔeneŋ#,#eneŋ#
#ʔeta#,#eta#
#ɡipit#,#ɡipit#
#ɡiliŋ#,#ɡiliŋ#
#bintiŋ#,#hiti#
#hiket#,#iket#
#hikan#,#ikan#
#ina#,#ina#
#inum#,#inum#
#iʔi#,#ii#
#ka#,#ka#
#kaŋ#,#kaŋ#
#kek#,#kek#
#kik#,#kik#
#kiŋ#,#kiŋ#
#kuk#,#kok#
#kukuh#,#koko#
#kulat#,#kulat#
#kahiw#,#kaiw#
#kakakₐ#,#kakak#
#kasaw#,#kasaw#
#kekkek#,#kekek#
#kekek#,#kekek#
#kiak#,#kiak#
#kiuk#,#kiok#
#kunidʒ#,#kuniɡ#
#laʔia#,#laja#
#laŋen#,#laŋen#
#lilin#,#lilin#
#lintik#,#litiik#
#litik#,#litiik#
#lintik#,#litik#
#litik#,#litik#
#liaŋ#,#liaŋ#
#lulun#,#lulun#
#lusuŋ#,#lusoŋ#
#laki#,#laki#
#raut#,#laot#
#laŋaw#,#laŋew#
#lumut#,#lumut#
#manuk#,#manok#
#mekmek#,#mekmek#
#mata#,#mata#
#mimis#,#mimis#
#musaŋ#,#musaŋ#
#ɲaŋket#,#naŋket#
#ɲaket#,#naŋket#
#ʔanuaŋ#,#nuaŋ#
#niket#,#niket#
#paniki#,#panniki#
#pahuʔ#,#pao#
#paŋedan#,#paŋdan#
#paŋan#,#paŋan#
#hapedʒes#,#peɡes#
#pespes#,#pespes#
#pikik#,#pikik#
#pitak#,#pitak#
#pintak#,#pitak#
#pitak#,#pitak#
#pus#,#pus#
#pasuŋ#,#pasoŋ#
#pudun#,#podon#
#pusedʒ#,#puseɡ#
#pusuʔ#,#puso#
#sit#,#sit#
#siŋkul#,#siŋkul#
#sidʒi#,#siɡi#
#suʔan#,#suan#
#taki#,#takki#
#talih#,#tali#
#tapik#,#tampik#
#tampuk#,#tampok#
#taʔun#,#taon#
#taŋeb#,#taŋeb#
#teŋaʔ#,#teŋa#
#tuɡtuɡ#,#tuɡtuɡ#
#taʔi#,#tai#
#tebah#,#teba#
#tubuʔ#,#tubo#
#tumbuʔ#,#tubo#
#tumah#,#tuma#
#hubun#,#ubon#
#ʔuzan#,#udan#
#ʔuma#,#uma#
#upus#,#upus#
#ʔutut#,#utut#
#huj#,#uj#
#huab#,#uab#
#iu#,#jo#
#ʔaledʒaw#,#aɡew#
#aŋkup#,#akup#
#ʔanih#,#ani#
#ʔanit#,#anit#
#hapin#,#apin#
#ʔataj#,#atej#
#hawak#,#awak#
#haŋit#,#aŋit#
#ias#,#ias#
#hili#,#ili#
#ima#,#ima#
#ina#,#ina#
#ʔipit#,#ipit#
#ʔiŋet#,#iŋet#
#ʔuhuŋ#,#ooŋ#
#ʔuban#,#uban#
#ubet#,#ubet#
#ʔubi#,#ubi#
#hulidʒ#,#uliɡ#
#ʔupa#,#upa#
#upun#,#upon#
#ʔutaŋ#,#utaŋ#
#hutek#,#utek#
#ŋak#,#ŋak#
#ŋakŋak#,#ŋakŋak#
#ŋasŋas#,#ŋasŋas#
#ŋaŋ#,#ŋaŋ#
#ŋaŋŋaŋ#,#ŋaŋaŋ#
#ŋaŋaŋ#,#ŋaŋaŋ#
#ŋek#,#ŋek#
#ŋekŋek#,#ŋekŋek#
#ŋeŋ#,#ŋeŋ#
#ŋeŋeŋ#,#ŋeŋeŋ#
#ŋik#,#ŋik#
#ŋikŋik#,#ŋikŋik#
#ŋukŋuk#,#ŋokŋok#
#ŋadʒan#,#ŋadan#
