input,output
#kanasaj#,#anaha#
#aɲam#,#anan#
#ʔawan#,#awan#
#baba#,#baba#
#belat#,#belat#
#buʔaja#,#bwea#
#elak#,#elak#
#eluŋ#,#elun#
#peɲu#,#fennu#
#hikan#,#ia#
#ida#,#ira#
#ʔibaw#,#iva#
#iŋat#,#iŋat#
#kali#,#kali#
#ʔaledʒaw#,#lera#
#lukut#,#lukut#
#mamin#,#mamin#
#mata#,#mata#
#nipaj#,#nifa#
#ʔanitu#,#nitu#
#pulut#,#pulut#
#datu#,#ratu#
#salaʔ#,#sala#
#sisir#,#sisir#
#tapel#,#tafal#
#tebuh#,#tevu#
#tunu#,#tunu#
#umpu#,#ubu#
#ʔuledʒ#,#ular#
#ʔulu#,#ulu#
#ʔumun#,#umun#
#ʔutud#,#utur#
#uu#,#uu#
#ʔubudʒ#,#uvur#
#bahaʔ#,#vaa#
#babaʔ#,#vava#
#baʔbaʔ#,#vava#
#bekeladʒ#,#velar#
#beli#,#veli#
#beluk#,#veluk#
#bedʒbedʒ#,#veva#
#biʔak#,#viak#
#buhat#,#vuat#
#buat#,#vuat#
#bulan#,#vulan#
#buliʔ#,#vuli#
#buŋa#,#vuna#
#buntu#,#vutu#
#huadʒi#,#wari#
#wakat#,#waʔat#
#hapuj#,#jafu#
