input,output
#acan#,#asa#
#ʔatop#,#atof#
#ʔatun#,#atun#
#kaju#,#au#
#ʔasam#,#aːsem#
#baluc#,#bal#
#bweka#,#bek#
#bakewak#,#beu#
#puaʔ#,#bu#
#buaʔ#,#bu#
#bulut#,#bulut#
#bubu#,#bumbu#
#buto#,#buto#
#buntut#,#butut#
#ranum#,#daan#
#kani#,#en#
#patu#,#faːt#
#padran#,#faa#
#papaʔ#,#faaf#
#papine#,#fifin#
#pili#,#fil#
#pose#,#fis#
#pitu#,#fit#
#pitolon#,#fitol#
#puk#,#fuk#
#poɲu#,#fun#
#putun#,#fut#
#api#,#if#
#iu#,#iu#
#ʔaʔe#,#keke#
#kamami#,#kemem#
#ʔone#,#kin#
#kuka#,#kuka#
#kulu#,#kulu#
#rikit#,#lik#
#loto#,#lot#
#malaʔe#,#maːli#
#matuʔa#,#maːtuk#
#manuk#,#man#
#mate#,#met#
#ŋapa#,#naːf#
#ko#,#o#
#pale#,#pal#
#palala#,#palal#
#pisi#,#pis#
#poki#,#pok#
#parara#,#paː#
#saman#,#sam#
#sisi#,#sisi#
#sulu#,#sul#
#tabuna#,#tabun#
#tuʔa#,#tua#
#kurat#,#uraːt#
#waɡa#,#waŋ#
