input,output
#hadu#,#addu#
#alali#,#alali#
#hemut#,#amot#
#batu#,#bitu#
#bataŋ#,#bitaŋ#
#bataŋ#,#bataŋ#
#dapan#,#dapan#
#zalan#,#dilan#
#dilaʔ#,#dila#
#danum#,#dinom#
#dahun#,#don#
#duha#,#duwa#
#ɡutɡut#,#ɡutɡut#
#buliʔ#,#huli#
#ɡatel#,#katal#
#kahiw#,#kaju#
#kilat#,#kilat#
#kulat#,#kulat#
#kulit#,#kulet#
#kutu#,#kutu#
#laʔia#,#laja#
#lumut#,#lumot#
#luheʔ#,#luwa#
#luas#,#luwas#
#laŋaw#,#laŋaw#
#laŋit#,#laŋet#
#manuk#,#manok#
#manuk#,#manuk#
#mata#,#mata#
#ɲamuk#,#namok#
#nateŋ#,#nataŋ#
#pusuʔ#,#pusu#
#pusedʒ#,#pusad#
#lisehaʔ#,#risa#
#liseʔah#,#risa#
#taŋis#,#saŋet#
#suluʔ#,#sulu#
#tuhud#,#tud#
#titu#,#titu#
#ŋadas#,#ŋadas#
#ŋadas#,#ŋadas#
#ŋasŋas#,#ŋasŋas#
