input,output
#abaŋ#,#abaŋ#
#ʔabu#,#abuh#
#ʔadʒeŋ#,#adeŋ#
#ʔahelu#,#aluh#
#anak#,#anak#
#ʔanit#,#anit#
#apa#,#apeh#
#ʔapidʒ#,#apid#
#sapu#,#apuh#
#apuk#,#apuk#
#hapuj#,#apuj#
#ataŋ#,#ataŋ#
#ataj#,#ate#
#ʔataj#,#ate#
#sakit#,#aʔit#
#baseʔ#,#baaʔ#
#baba#,#babeh#
#badas#,#bada#
#badʒaʔ#,#badaʔ#
#bali#,#balih#
#baliw#,#baliw#
#bataŋ#,#bataŋ#
#batu#,#batuh#
#buʔaja#,#bajeh#
#bakbak#,#bebʰak#
#bedʒbedʒ#,#bebʰed#
#bekbek#,#bebʰek#
#berber#,#bebʰer#
#betbet#,#bebʰet#
#bekeladʒ#,#belad#
#beli#,#belih#
#bena#,#beneh#
#beraŋ#,#beraŋ#
#becit#,#besit#
#betik#,#betik#
#bituka#,#betueh#
#beŋel#,#beŋel#
#baŋelih#,#beŋelih#
#biŋkuŋ#,#bikuŋ#
#bilit#,#bilit#
#buhat#,#buat#
#abuʔaŋ#,#buaŋ#
#buaʔ#,#buaʔ#
#bunbun#,#bubʰun#
#butbut#,#bubʰut#
#budaʔ#,#budaʔ#
#bunduk#,#buduk#
#bukuh#,#bukuh#
#bulan#,#bulan#
#bulat#,#bulat#
#bulu#,#buluh#
#bunuʔ#,#bunuʔ#
#butuʔ#,#butuʔ#
#dadan#,#dadan#
#daŋdaŋ#,#dadaŋ#
#zalan#,#dalan#
#dalem#,#dalem#
#daʔan#,#daʔan#
#dahun#,#daʔun#
#deket#,#deket#
#dilaʔ#,#dilaʔ#
#ziuʔ#,#diuʔ#
#duha#,#dueh#
#bahaʔ#,#ebʰaʔ#
#embeŋ#,#ebʰeŋ#
#buhek#,#ebʰuk#
#ezan#,#edʰan#
#ʔaledʒaw#,#edʰo#
#eŋkeb#,#ekeb#
#ekeb#,#ekeb#
#ʔelad#,#elad#
#elak#,#elak#
#ʔelaŋ#,#elaŋ#
#epat#,#epat#
#etuk#,#etuk#
#ʔetut#,#etut#
#ɡutɡut#,#ɡuɡut#
#ida#,#ideh#
#siŋkab#,#ikab#
#ʔitem#,#item#
#hejup#,#iup#
#kahiw#,#kajuh#
#keŋkeŋ#,#kekeŋ#
#kilat#,#kilat#
#kiluʔ#,#kiluʔ#
#kudʒa#,#kudeh#
#kulat#,#kulat#
#kulat#,#kulat#
#kulit#,#kulit#
#kutu#,#kutuh#
#kebkeb#,#kəkəb#
#ketep#,#kətəp#
#labu#,#labuh#
#laŋket#,#laket#
#laket#,#laket#
#laledʒ#,#laled#
#laŋit#,#laŋit#
#laŋaw#,#laŋo#
#laki#,#laʔih#
#leŋkiʔ#,#lekiʔ#
#lemek#,#lemek#
#leŋen#,#leŋen#
#laʔia#,#lieh#
#lulun#,#lulun#
#lumut#,#lumut#
#lem#,#ləm#
#lepaw#,#ləpo#
#baba#,#mabeh#
#badʒaʔ#,#madaʔ#
#malem#,#malem#
#manuk#,#manuk#
#mata#,#matəh#
#mai#,#me#
#berber#,#mebʰer#
#beŋel#,#meŋel#
#bilit#,#milit#
#bunbun#,#mubʰun#
#pulut#,#mulut#
#putul#,#mutul#
#tabun#,#nabun#
#tazem#,#nadem#
#zalan#,#nalan#
#ɲamuk#,#namuk#
#nanaʔ#,#nanaʔ#
#natad#,#natad#
#telen#,#nelen#
#nipis#,#nipi#
#tuluŋ#,#nuluŋ#
#na#,#nəh#
#teken#,#nəkən#
#deket#,#nəkət#
#paladʒ#,#palad#
#palaŋ#,#palaŋ#
#palu#,#paluh#
#paʔet#,#paʔet#
#paʔit#,#paʔit#
#hapedʒiʔ#,#pedʰiʔ#
#pian#,#pian#
#piʔek#,#piək#
#pulut#,#pulut#
#punaŋ#,#punaŋ#
#putul#,#putul#
#putul#,#putul#
#pusedʒ#,#puəd#
#puʔun#,#puʔun#
#ʔatimun#,#simun#
#taban#,#taban#
#tabun#,#tabun#
#tazem#,#tadem#
#taʔaj#,#taeʔ#
#taneʔ#,#tanaʔ#
#tanek#,#tanek#
#tanem#,#tanem#
#taʔi#,#taʔih#
#telen#,#telen#
#tuluŋ#,#tuluŋ#
#tumah#,#tumeh#
#tunu#,#tunuh#
#tuʔu#,#tuʔuh#
#tebuh#,#təbʰuh#
#teɡuk#,#təɡuk#
#teken#,#təkən#
#huab#,#uab#
#ʔubi#,#ubih#
#ʔubudʒ#,#ubud#
#ʔuzan#,#udan#
#uduʔ#,#udoʔ#
#ʔunzur#,#udur#
#ʔuzuŋ#,#uduŋ#
#udehi#,#udʰih#
#ʔuledʒ#,#uled#
#suli#,#ulih#
#ʔulu#,#uluh#
#ʔunedʒ#,#uned#
#huni#,#unih#
#ʔumpan#,#upan#
#ʔutaŋ#,#utaŋ#
#ŋadʒan#,#ŋadan#
#ŋaŋa#,#ŋaŋəh#
#kebkeb#,#ŋəkəb#
