input,output
#antap#,#antap#
#abaj#,#avej#
#bakbak#,#bakbak#
#bantuɡ#,#bantuɡ#
#basal#,#basal#
#bajuɡ#,#bajuɡ#
#baŋil#,#baŋil#
#baketin#,#beketin#
#balaʔih#,#belaʔi#
#belaj#,#belej#
#balikid#,#belikid#
#balitiʔ#,#belitiʔ#
#bajbaj#,#bejvej#
#baʔuʔu#,#beʔuʔu#
#bitaj#,#bitej#
#bitu#,#bitu#
#bulalakaw#,#bulelakaw#
#bulbul#,#bulvul#
#bunwit#,#bunuwit#
#busiʔsiʔ#,#busiʔsiʔ#
#budʒiʔ#,#buziʔ#
#buʔel#,#buʔel#
#dakel#,#dakel#
#dabuŋ#,#davuŋ#
#dawat#,#dawat#
#dujan#,#dujan#
#ʔelad#,#elad#
#alabat#,#elavat#
#amuma#,#emuma#
#atubaŋ#,#etuvaŋ#
#ɡebaʔ#,#ɡevaʔ#
#habhab#,#habhab#
#habel#,#havel#
#hilaw#,#hilew#
#hilut#,#hilut#
#hubuʔ#,#huvuʔ#
#iriŋ#,#iriŋ#
#isip#,#isip#
#ituʔ#,#ituʔ#
#kati#,#kati#
#kabeɡ#,#kaveɡ#
#kamansi#,#kemasi#
#kamaŋa#,#kemaŋa#
#kilaw#,#kilew#
#kuretret#,#kureret#
#lahus#,#lahus#
#labaw#,#lavew#
#lajuɡ#,#lajuɡ#
#lakub#,#laŋkub#
#lebaɡ#,#levaɡ#
#lipat#,#lipat#
#lipaj#,#lipej#
#lipeŋ#,#lipeŋ#
#liput#,#liput#
#lised#,#lised#
#lislis#,#lislis#
#liŋiʔ#,#liŋiʔ#
#lumun#,#lumun#
#luhenaw#,#lunew#
#luhnaw#,#lunew#
#lua#,#luwa#
#luas#,#luwas#
#man#,#man#
#maja#,#maja#
#palis#,#palis#
#palpal#,#palpal#
#paspas#,#paspas#
#pajpaj#,#pejpej#
#pidut#,#pindut#
#pintuʔ#,#pintuʔ#
#piʔpiʔ#,#piʔpiʔ#
#pulidʒ#,#pulid#
#pusek#,#pusek#
#putud#,#putud#
#reneb#,#reneb#
#runut#,#runut#
#saŋkab#,#sakab#
#sakab#,#sakab#
#sakup#,#sakup#
#sambut#,#sambut#
#samsam#,#samsam#
#sapuʔ#,#sapuʔ#
#sabelaj#,#seblej#
#sablaj#,#seblej#
#sakedu#,#sekezu#
#seki#,#seki#
#saluɡsuɡ#,#seluɡsuɡ#
#sarebseb#,#serebseb#
#saridʒsidʒ#,#seridsid#
#sajsaj#,#sejsej#
#sirap#,#sirap#
#simsim#,#sisim#
#subeliʔ#,#subliʔ#
#subliʔ#,#subliʔ#
#sudsud#,#sudsud#
#sukut#,#sukut#
#sulsul#,#sulsul#
#sulu#,#sulu#
#sumbuŋ#,#sumbuŋ#
#sunud#,#sunud#
#suaj#,#suwej#
#suŋaj#,#suŋej#
#suŋit#,#suŋit#
#suŋsuŋ#,#suŋsuŋ#
#suɡud#,#suǥud#
#suʔuk#,#suʔuk#
#taɡekes#,#taɡkes#
#taɡkes#,#taɡkes#
#tantan#,#tantan#
#tapuŋ#,#tapuŋ#
#tajaʔ#,#tajaʔ#
#taʔul#,#taʔul#
#taliwadʒaʔ#,#teliwazaʔ#
#tulduʔ#,#tenduʔ#
#tebaʔ#,#tevaʔ#
#tulduʔ#,#tezuʔ#
#tiktik#,#tiktik#
#tulduʔ#,#tudluʔ#
#tulaj#,#tulej#
#tulud#,#tulud#
#tunaw#,#tunew#
#tujuʔ#,#tujuʔ#
#uɡtu#,#udtu#
#upas#,#upas#
#upaw#,#upew#
#ʔujaɡ#,#ujaɡ#
#wadwad#,#wadwad#
#walwal#,#walwal#
#jamjam#,#jamjam#
#japjap#,#japjap#
#jekjek#,#jekjek#
#jawjaw#,#jewjew#
#ŋisŋis#,#ŋisŋis#
#ŋuhed#,#ŋuhed#
#alaw#,#alew#
#amul#,#amul#
#anduruɡ#,#duruɡ#
