input,output
#abi#,#abi#
#kani#,#ali#
#acok#,#aso#
#bitiʔ#,#bisi#
#boi#,#boi#
#boi#,#boiboi#
#boto#,#boto#
#bubu#,#bubu#
#bui#,#buli#
#buliŋ#,#buli#
#putuk#,#butu#
#ʔanunu#,#halulu#
#ʔaco#,#haro#
#ʔiro#,#hilo#
#ʔono#,#holo#
#ili#,#ili#
#ilo#,#ilo#
#isi#,#isi#
#kasi#,#kasi#
#ʔiro#,#liho#
#nuso#,#luso#
#maʔati#,#mahati#
#mai#,#mai#
#malai#,#malai#
#malala#,#malala#
#mwaloʔ#,#malo#
#mamata#,#mamata#
#mamis#,#mami#
#maosak#,#maosa#
#matakut#,#matau#
#mate#,#mate#
#matuʔa#,#matuha#
#moɲak#,#mola#
#binu#,#pilu#
#pisi#,#pisi#
#bubu#,#pupu#
#siba#,#sipa#
#sipo#,#sivo#
#tanum#,#talu#
#taŋar#,#taŋa#
#topoŋ#,#tovo#
#tutuk#,#tutu#
#wali#,#vali#
#pani#,#vali#
#pidʒo#,#viro#
#pitolon#,#vitolo#
#ponuʔ#,#volu#
#puaʔ#,#vua#
#buaʔ#,#vua#
#puʔi#,#vuhi#
#pupuk#,#vuvu#
