input,output
#baɲaw#,#banaw#
#batux#,#batu#
#baju#,#baju#
#bedʒbedʒ#,#budbud#
#bukas#,#bukas#
#buʔaja#,#buʔaja#
#baba#,#baba#
#babaw#,#babaw#
#bakuŋ#,#bakuŋ#
#baliw#,#baliw#
#bahi#,#baji#
#bitbit#,#bitbit#
#bubu#,#bubu#
#bukidʒ#,#bukid#
#buled#,#bulud#
#buluʔ#,#buluʔ#
#buŋa#,#buŋa#
#dakep#,#dakup#
#daŋdaŋ#,#daŋdaŋ#
#debdeb#,#dubdub#
#demdem#,#dumdum#
#depah#,#dupa#
#depuŋ#,#dupuŋ#
#zalan#,#dalan#
#danaw#,#danaw#
#zawa#,#dawa#
#dilaʔ#,#dilaʔ#
#kamaja#,#kamaja#
#kawajan#,#kawajan#
#kilala#,#kilala#
#kuden#,#kurun#
#kalih#,#kali#
#kawit#,#kawit#
#kaen#,#kaʔun#
#laŋu#,#laŋu#
#likud#,#likud#
#luludʒ#,#lulud#
#lapaʔ#,#lapaʔ#
#lawas#,#lawas#
#lahud#,#lawud#
#laŋaw#,#laŋaw#
#laŋu#,#laŋu#
#lima#,#lima#
#lipas#,#lipas#
#lebeŋ#,#lubuŋ#
#manuk#,#manuk#
#ni#,#ni#
#nu#,#nu#
#pakpak#,#pakpak#
#pidʒax#,#pira#
#pitu#,#pitu#
#puki#,#puki#
#padʒaj#,#paraj#
#paen#,#paʔun#
#piliʔ#,#piliʔ#
#punaj#,#punaj#
#puteʔ#,#putaʔ#
#putun#,#putul#
#saŋedaj#,#sandaj#
#si#,#si#
#siwsiw#,#sisiw#
#suksuk#,#suksuk#
#saleŋ#,#saluŋ#
#sapaʔ#,#sapaʔ#
#sikux#,#siku#
#sipit#,#sipit#
#suli#,#suli#
#susu#,#susu#
#tapus#,#tapus#
#tebek#,#tubuk#
#tukad#,#tukad#
#tiktik#,#tiktik#
#timidʒ#,#timid#
#ʔatimela#,#timla#
#tukad#,#tukad#
#tektek#,#tuktuk#
#tukud#,#tukud#
#telu#,#tulu#
#tuduʔ#,#turuʔ#
#tuzuʔ#,#turuʔ#
#tukud#,#tuŋkud#
#walu#,#walu#
#ŋadʒan#,#ŋaran#
#ŋaŋa#,#ŋaŋa#
#ŋipen#,#ŋipun#
#aku#,#ʔaku#
#ʔalad#,#ʔalad#
#ʔapedʒux#,#ʔapdu#
#ʔasawa#,#ʔasawa#
#ʔuman#,#ʔuman#
#ʔupuŋ#,#ʔupuŋ#
#ʔudaŋ#,#ʔuraŋ#
#esa#,#ʔusa#
#ʔetut#,#ʔutut#
#ʔuaj#,#ʔuwaj#
#ʔaɲud#,#ʔanud#
#apu#,#ʔapu#
#ʔatip#,#ʔatip#
#ʔuluh#,#ʔulu#
#enem#,#ʔunum#
#ʔudʒiŋ#,#ʔuriŋ#
