input,output
#asaɡ#,#asaɡeʔ#
#ataŋ#,#ataŋ#
#abit#,#awiʔ#
#baruɡa#,#bahuɡha#
#balantik#,#balatiʔ#
#balatik#,#balatiʔ#
#baliŋbiŋ#,#balimbiŋ#
#balunuʔ#,#balunuʔ#
#balun#,#baluŋ#
#banaeŋ#,#banaeŋ#
#bantal#,#bantaləʔ#
#bataʔ#,#bata#
#babaw#,#bawo#
#bintaŋ#,#bintaŋ#
#biŋkaj#,#biŋke#
#buas#,#buaseʔ#
#buhis#,#buiseʔ#
#budʒak#,#buraʔ#
#busuŋ#,#busuŋ#
#butiti#,#butiti#
#basbas#,#bebaseʔ#
#damaj#,#dame#
#diŋan#,#diŋaŋ#
#heluŋ#,#elluŋ#
#embaw#,#embo#
#emuŋ#,#emmuŋ#
#ʔendem#,#enduŋ#
#hilu#,#ilu#
#iziɡ#,#indiɡeʔ#
#hinzam#,#iraŋ#
#iruʔ#,#iro#
#isi#,#isi#
#ɡasiŋ#,#kasiŋ#
#patiukan#,#katiupaŋ#
#kiut#,#kiuʔ#
#kuruŋ#,#kuhuŋ#
#kurin#,#kuriŋ#
#keniŋ#,#kəniŋ#
#laɡu#,#laɡu#
#lanab#,#lanabəʔ#
#lalatu#,#lelatu#
#leɲab#,#lennabeʔ#
#liŋsuŋ#,#lisuŋ#
#lisuŋ#,#lisuŋ#
#pariama#,#pahiama#
#pariama#,#pohiama#
#palidʒ#,#palideʔ#
#palu#,#palu#
#paŋi#,#paŋi#
#puŋɡuk#,#puŋɡuʔ#
#piŋkuŋ#,#peŋkoŋ#
#salapid#,#salapidəʔ#
#sambaj#,#sambe#
#sabaj#,#sambe#
#sampiŋ#,#sampiŋ#
#sikat#,#sikatəʔ#
#siduŋ#,#siruŋ#
#sumbaŋ#,#sumbaŋ#
#selat#,#səlaʔ#
#seput#,#səpuʔ#
#selsel#,#səʔsiləʔ#
#tanaŋaw#,#tanaŋo#
#tilanzaŋ#,#tilandaŋ#
#timbul#,#timbul#
#tuil#,#tuileʔ#
#turali#,#turali#
#tadtad#,#tətadəʔ#
#u#,#u#
#huŋkab#,#uŋkab#
#hukab#,#uŋkab#
#uliʔ#,#uɭe#
#wasaj#,#wase#
#iŋkul#,#eŋkoleʔ#
