input,output
#aŋkup#,#akuʔ#
#anak#,#anaʔ#
#hapuj#,#apuj#
#atas#,#atas#
#haŋin#,#aŋin#
#baseʔ#,#basoh#
#batu#,#batu#
#beli#,#beli#
#bener#,#benox#
#buaʔ#,#buah#
#buʔaja#,#buha#
#bulu#,#bulu#
#buluŋ#,#buluŋ#
#buhek#,#buoʔ#
#busuk#,#busuʔ#
#buɲi#,#buɲi#
#ʔadʒeŋ#,#haxoŋ#
#ʔisep#,#hisoʔ#
#hiket#,#ikoʔ#
#inum#,#inum#
#idʒuŋ#,#ixuŋ#
#zilateŋ#,#dʒilatoŋ#
#kutu#,#kutu#
#laŋit#,#laŋiʔ#
#manuk#,#manuʔ#
#mata#,#mata#
#pasaŋ#,#pasaŋ#
#epat#,#paʔ#
#salaʔ#,#salah#
#sapa#,#sapa#
#siwa#,#siwa#
#sulsul#,#susul#
#tazem#,#tadʒom#
#talih#,#tali#
#taneʔ#,#tanoh#
#tanem#,#tanom#
#tuʔah#,#tuha#
#daʔani#,#xani#
#duha#,#xua#
#ɲikɲik#,#ɲeɲik#
#ŋeni#,#ŋeni#
