input,output
#ʔaʔaj#,#ai#
#aku#,#akəw#
#asu#,#asəw#
#ʔabu#,#avəw#
#baseʔ#,#basəʔ#
#batux#,#batəw#
#ʔuaj#,#baj#
#buʔaja#,#baza#
#buluʔ#,#buluʔ#
#bubu#,#buvəw#
#buŋa#,#buŋa#
#beli#,#bələj#
#dalem#,#daləm#
#kelem#,#kələm#
#lahud#,#laud#
#likud#,#likud#
#lima#,#lima#
#luludʒ#,#lulud#
#lubaŋ#,#luvaŋ#
#manuk#,#manuk#
#putun#,#mutun#
#mesmes#,#məməs#
#pacek#,#pasək#
#puluʔ#,#puluʔ#
#punaj#,#punaj#
#peceʔ#,#pəsaʔ#
#daja#,#raza#
#depah#,#rəpa#
#ʔasawa#,#saba#
#sapaw#,#sapaw#
#sikux#,#sikəw#
#tuzuʔ#,#tudʒuʔ#
#tuduʔ#,#turuʔ#
#tutuh#,#tutəw#
#tubah#,#tuva#
#telu#,#tələw#
#ʔatimela#,#təməla#
#tektek#,#tətək#
#tektek#,#tətək#
#ʔuledʒ#,#uləd#
#ʔuluh#,#uləw#
#ʔudip#,#urip#
#udʒuŋ#,#uruŋ#
#udu#,#urəw#
#utaʔ#,#utaʔ#
#nipen#,#ɲipən#
#enem#,#ənəm#
