input,output
#epat#,#a#
#ʔajuju#,#ai#
#hapuj#,#ai#
#aɲam#,#ana#
#ʔanitu#,#anti#
#hapen#,#ao#
#adʒan#,#ara#
#paŋedan#,#ara#
#adʒan#,#are#
#ʔatep#,#ato#
#ʔawas#,#aua#
#ʔawa#,#awa#
#haŋin#,#aŋ#
#ba#,#ba#
#papan#,#baba#
#buhat#,#bu#
#ʔuban#,#ia#
#iaʔi#,#iai#
#ʔipil#,#ibi#
#hikan#,#ika#
#imu#,#im#
#imu#,#imi#
#ʔuledʒ#,#ino#
#iriŋ#,#iri#
#kahiw#,#kai#
#kamu#,#kam#
#kanawa#,#kanawa#
#katawan#,#katawa#
#kima#,#kima#
#kahu#,#ko#
#mamaʔ#,#mama#
#manuk#,#man#
#mata#,#mata#
#lakaw#,#nako#
#ɲamit#,#nam#
#dalem#,#nano#
#ladʒih#,#nari#
#ʔanunu#,#nu#
#ʔanunu#,#nunu#
#peɲu#,#on#
#sapa#,#ra#
#danum#,#ran#
#saŋa#,#raŋa#
#taneʔ#,#tano#
#tasik#,#tari#
#taŋis#,#taŋi#
#teka#,#toka#
#tebuh#,#tou#
#buaʔ#,#ua#
#duha#,#ua#
#kukuh#,#uki#
#duha#,#uo#
