input,output
#ema#,#amma#
#emuŋ#,#ammuŋ#
#atimel#,#assimal#
#ataʔ#,#atta#
#ʔajam#,#ajam#
#baraŋaj#,#baraŋaj#
#bilin#,#bilin#
#pukaw#,#fukaw#
#bukel#,#hukal#
#bukaw#,#hukaw#
#kaban#,#kaban#
#kunem#,#kunam#
#kuriat#,#kurjat#
#kua#,#kwa#
#kaja#,#kaja#
#kiraj#,#kiraj#
#laŋkeb#,#lakab#
#lakeb#,#lakab#
#leŋkeb#,#lakab#
#lempaɡ#,#lappaɡ#
#lepaɡ#,#lappaɡ#
#liŋeʔet#,#liŋat#
#liŋʔet#,#liŋat#
#lutuʔ#,#lutu#
#paku#,#paku#
#pinzit#,#pirit#
#pizit#,#pirit#
#tabeʔ#,#taba#
#tabas#,#tabas#
#tuʔelaŋ#,#tulaŋ#
#sedʒem#,#taɡɡam#
#wasaj#,#wataj#
#ʔalesem#,#alsam#
#ikedʒ#,#ikaɡ#
#uki#,#uki#
