input,output
#mapua#,#mau#
#acan#,#asan#
#kulit#,#kulit#
#lako#,#lak#
#laka#,#lak#
#laman#,#laman#
#laŋo#,#laŋ#
#lom#,#lo#
#mate#,#mat#
#maʔati#,#mat#
#mimiʔ#,#mimik#
#mwata#,#muata#
#naku#,#nak#
#balaŋ#,#pal#
#padʒale#,#pasal#
#bebe#,#pepe#
#polok#,#polok#
#boto#,#poto#
#puka#,#puka#
#punuʔ#,#punuk#
#draula#,#raula#
#daula#,#raula#
#dʒalan#,#salan#
#tabu#,#tap#
#tadra#,#tara#
#tuʔur#,#tuk#
#puʔaja#,#uaja#
#pulan#,#ulan#
#poɲu#,#un#
#pudi#,#ur#
#ʔusan#,#usan#
#putun#,#utun#
#buŋi#,#vuŋ#
#ŋutu#,#ŋut#
