input,output
#baketin#,#baktin#
#bantuɡ#,#bantoɡ#
#budbud#,#budbod#
#duldul#,#duldol#
#dujan#,#dujan#
#haʔewas#,#hawʔas#
#haʔwas#,#hawʔas#
#hiɡut#,#hiɡot#
#kalit#,#kalit#
#kapet#,#kapot#
#man#,#man#
#paspas#,#paspas#
#pawikan#,#pawikan#
#pajpaj#,#pajpaj#
#pukan#,#pukan#
#pulidʒ#,#pulid#
#puseʔun#,#pusʔun#
#pusʔun#,#pusʔun#
#sapad#,#sapad#
#sapin#,#sapin#
#saput#,#sapot#
#sudsud#,#sudsod#
#suʔelut#,#sulʔot#
#suʔlut#,#sulʔot#
#tulaj#,#tulaj#
#tunaw#,#tunaw#
#uɡbus#,#uɡbos#
#jahuŋ#,#jahoŋ#
#jakal#,#jakal#
#amuŋ#,#amoŋ#
