input,output
#hadas#,#adas#
#adu#,#adu#
#azak#,#adʒak#
#hakep#,#akep#
#ʔalaŋ#,#alaŋ#
#alub#,#alub#
#amben#,#amben#
#ampal#,#ampal#
#hampaŋ#,#ampaŋ#
#ampet#,#ampet#
#ʔanta#,#anta#
#ʔantem#,#antem#
#ʔalesem#,#asem#
#ataɡ#,#ataɡ#
#ʔabuɡ#,#awuɡ#
#ambun#,#awun#
#ʔabud#,#awur#
#hajun#,#ajun#
#haseɡ#,#aŋseɡ#
#hasuk#,#aŋsuk#
#babat#,#babat#
#bacuk#,#bacok#
#bacuk#,#bacuk#
#bakat#,#bakat#
#baʔeluŋ#,#baloŋ#
#banban#,#bamban#
#bantal#,#bantal#
#bantas#,#bantas#
#banduŋ#,#baruŋ#
#baŋsal#,#baŋsal#
#batik#,#baʈik#
#bebak#,#bebak#
#beɡbeɡ#,#bebeɡ#
#ebek#,#bek#
#bekur#,#bekur#
#benaŋ#,#benaŋ#
#benem#,#benem#
#berit#,#beret#
#betaʔ#,#betah#
#biŋkeluŋ#,#beŋkeluŋ#
#biŋbiŋ#,#bimbiŋ#
#bitul#,#bintul#
#bintur#,#bintur#
#bisik#,#bisik#
#buduk#,#borok#
#bubul#,#bubul#
#butbut#,#bubut#
#buɡar#,#buɡar#
#buɡbuɡ#,#buɡbuɡ#
#buŋbuŋ#,#bumbuŋ#
#burik#,#burik#
#busuŋ#,#busuŋ#
#bujeʔuŋ#,#bujuŋ#
#buŋkus#,#buŋkus#
#baisan#,#besan#
#ceɡuk#,#ceɡuk#
#cirit#,#cirit#
#cuŋkub#,#cuŋkub#
#daŋanan#,#daŋanan#
#dilat#,#dilat#
#deŋkul#,#deŋkul#
#ʔembun#,#ebun#
#epan#,#empan#
#endut#,#endut#
#entul#,#entul#
#eŋkab#,#eŋkab#
#ekab#,#eŋkab#
#ekup#,#eŋkup#
#ʔendem#,#eɳɖem#
#ɡaɡu#,#ɡaɡu#
#ɡarit#,#ɡarit#
#ɡemes#,#ɡemes#
#ɡempal#,#ɡempal#
#ɡetuk#,#ɡeʈok#
#ɡisɡis#,#ɡiɡis#
#ɡuntur#,#ɡuntur#
#ʔiaŋ#,#hjaŋ#
#icak#,#icak#
#ʔizep#,#idep#
#ʔizep#,#idʒep#
#iŋɡit#,#iɡit#
#iɡit#,#iɡit#
#hikhik#,#ikik#
#ʔilaɡ#,#ilaɡ#
#imbuʔ#,#imbuh#
#ʔiriŋ#,#iriŋ#
#isaw#,#iso#
#itil#,#itil#
#hiwiʔ#,#iwi#
#iŋas#,#iŋas#
#iŋet#,#iŋet#
#iŋkem#,#iŋkem#
#ʔidam#,#iɖam#
#ʔitik#,#iʈik#
#zapit#,#dʒapit#
#zepit#,#dʒepet#
#zepit#,#dʒepit#
#kampil#,#kampil#
#kandaŋ#,#kanɖaŋ#
#kapal#,#kapal#
#kapuk#,#kapuk#
#kawaʔ#,#kawah#
#kaja#,#kaja#
#kaŋkaŋ#,#kaŋkaŋ#
#kezep#,#kedʒep#
#ketket#,#keket#
#kembaŋ#,#kembaŋ#
#kepel#,#kepel#
#kepuŋ#,#kepuŋ#
#keteɡ#,#keteɡ#
#keter#,#keter#
#ketek#,#keʈek#
#kiduŋ#,#kiduŋ#
#kilkil#,#kikil#
#kukkuk#,#kukuk#
#kuhul#,#kul#
#kumpul#,#kumpul#
#kupiŋ#,#kupiŋ#
#kuru#,#kuru#
#kuruŋ#,#kuruŋ#
#kusut#,#kusut#
#kutil#,#kutil#
#kuntit#,#kuɳʈet#
#kutit#,#kuɳʈet#
#labuʔ#,#labuh#
#lahar#,#lahar#
#lampit#,#lampit#
#lampus#,#lampus#
#lapus#,#lampus#
#landak#,#landak#
#latak#,#latak#
#lawaŋ#,#lawaŋ#
#labaj#,#lawe#
#laŋuj#,#laŋi#
#leket#,#leket#
#letlet#,#lelet#
#lembaʔ#,#lembah#
#lebaʔ#,#lembah#
#lembut#,#lembut#
#lepas#,#lepas#
#lesu#,#lesu#
#ʔaliwat#,#liwat#
#liwed#,#liwer#
#likab#,#liŋkab#
#liŋliŋ#,#liŋliŋ#
#ʔeluk#,#luk#
#lumpaŋ#,#lumpaŋ#
#lunas#,#lunas#
#luju#,#luju#
#bates#,#mates#
#majaŋ#,#majaŋ#
#paŋku#,#maŋku#
#pecut#,#mecut#
#pezem#,#merem#
#betaʔ#,#metah#
#beteŋ#,#meteŋ#
#piʔak#,#miak#
#pizak#,#midak#
#pilis#,#milis#
#bisik#,#misik#
#pukul#,#mukul#
#puliʔ#,#mulih#
#puncu#,#muncu#
#puntuk#,#munʈuk#
#pitak#,#metak#
#tabtab#,#natab#
#tawaŋ#,#nawaŋ#
#tabiŋ#,#nawiŋ#
#taŋɡuŋ#,#naŋɡuŋ#
#taŋkis#,#naŋkis#
#tebas#,#nebas#
#testes#,#netes#
#tuŋkup#,#nukup#
#tulad#,#nulad#
#tuntun#,#nuntun#
#humbak#,#ombak#
#pampet#,#pampet#
#papet#,#pampet#
#pasaŋ#,#pasaŋ#
#pasaŋ#,#pasaŋ#
#pasaŋ#,#pasaŋ#
#patik#,#patik#
#pajaʔ#,#pajah#
#paju#,#paju#
#pajuŋ#,#pajuŋ#
#paŋɡaŋ#,#paŋɡaŋ#
#paŋɡuŋ#,#paŋɡuŋ#
#paŋku#,#paŋku#
#padaŋ#,#paɖaŋ#
#pantuk#,#paʈuk#
#patuk#,#paʈuk#
#patik#,#paʈek#
#pecut#,#pecut#
#pekpek#,#pepek#
#petpet#,#pepet#
#pera#,#pera#
#petak#,#petak#
#peteŋ#,#peteŋ#
#piʔak#,#piak#
#pizet#,#pidʒet#
#pikat#,#pikat#
#pilis#,#pilis#
#pindaʔ#,#pinɖah#
#pidpid#,#pipir#
#pis#,#pis#
#pisan#,#pisan#
#palapaʔ#,#plapah#
#puliʔ#,#pulih#
#puncu#,#puncu#
#puntuk#,#punʈuk#
#puŋɡel#,#puŋɡel#
#pitak#,#petak#
#dahak#,#rak#
#rambut#,#rambut#
#raŋkaŋ#,#raŋkaŋ#
#rendeŋ#,#rendeŋ#
#reŋat#,#reŋat#
#rupit#,#rupit#
#ruit#,#ruwit#
#saɡa#,#saɡa#
#salin#,#salin#
#salaj#,#sale#
#sambut#,#sambut#
#samir#,#samir#
#sandaŋ#,#sanɖaŋ#
#saruŋ#,#saruŋ#
#sabaʔ#,#sawah#
#sawan#,#sawan#
#sabuŋ#,#sawuŋ#
#saŋet#,#saŋet#
#saŋɡa#,#saŋɡa#
#saŋɡul#,#saŋɡul#
#sapelet#,#sepet#
#seraj#,#sere#
#seŋit#,#seŋit#
#sikat#,#sikat#
#siŋkeb#,#sikeb#
#sikeb#,#sikeb#
#sikep#,#sikep#
#silem#,#silem#
#sipat#,#sipat#
#sidiŋ#,#siriŋ#
#siduŋ#,#siruŋ#
#sisiɡ#,#sisiɡ#
#sisiʔ#,#sisih#
#saur#,#sor#
#surambi#,#srambi#
#surambi#,#surambi#
#sulit#,#sulit#
#suliŋ#,#suliŋ#
#sumpaʔ#,#sumpah#
#sumpel#,#sumpel#
#sumpiŋ#,#sumpiŋ#
#supit#,#supit#
#suruŋ#,#suruŋ#
