input,output
#ʔalad#,#alad#
#bahi#,#bahi#
#batux#,#batu#
#batu#,#batu#
#bedʒbedʒ#,#bedbed#
#bekas#,#bekas#
#bitbit#,#bitbit#
#bituʔen#,#bituen#
#bulaw#,#bulaw#
#betuŋ#,#buntuŋ#
#buaʔ#,#buwaʔ#
#buŋa#,#buŋa#
#buʔaja#,#buʔaja#
#badʒaʔ#,#balaʔ#
#daŋdaŋ#,#dadaŋ#
#daŋdaŋ#,#daraŋ#
#dakep#,#dakep#
#zalan#,#dalan#
#dalem#,#dalem#
#danaw#,#danaw#
#zawa#,#dawa#
#depah#,#depa#
#duma#,#duma#
#dilaʔ#,#dilaʔ#
#kaen#,#kaen#
#kilala#,#kilala#
#kiskis#,#kiskis#
#lahud#,#lawed#
#lapaʔ#,#lapaʔ#
#laŋaw#,#laŋaw#
#mamah#,#mama#
#manuk#,#manuk#
#pa#,#pa#
#paʔa#,#paa#
#paen#,#paen#
#paheku#,#pako#
#pakpak#,#pakpak#
#pidʒax#,#pila#
#piliʔ#,#piliʔ#
#pitu#,#pitu#
#piak#,#pijak#
#pukpuk#,#pukpuk#
#sa#,#sa#
#saksak#,#saksak#
#seŋseŋ#,#seŋseŋ#
#si#,#si#
#sikux#,#siku#
#sipit#,#sipit#
#susu#,#susu#
#taktak#,#taktak#
#tastas#,#tastas#
#tektek#,#tektek#
#tubah#,#tuba#
#tukud#,#tukud#
#tuduʔ#,#tuluʔ#
#telu#,#tulu#
#ŋadʒan#,#ŋaran#
#ŋilu#,#ŋilu#
#ŋipen#,#ŋipen#
