input,output
#bakes#,#bakəs#
#bahiʔ#,#bajʔ#
#beŋet#,#beŋet#
#budbud#,#budbud#
#bulalakaw#,#bulalakaw#
#bujuk#,#bujok#
#balaʔih#,#balaj#
#bajbaj#,#bajbaj#
#bahiʔ#,#baʔi#
#bulbul#,#bulbul#
#beteŋ#,#bətəŋ#
#dakel#,#dakəl#
#dalit#,#dalit#
#dalus#,#dalus#
#daŋaw#,#daŋaw#
#kamandaɡ#,#kamandaɡ#
#kania#,#kanja#
#liwan#,#liwan#
#lubid#,#lubid#
#lebek#,#lɨbɨk#
#pidek#,#pirɨk#
#puɡad#,#puɡad#
#salsal#,#salsal#
#ŋalŋal#,#ŋalŋal#
#habel#,#ʔabel#
#hapun#,#ʔapon#
#ikamen#,#ʔikamɨn#
#sidaʔ#,#ʔisdaʔ#
#hajep#,#ʔajep#
#helek#,#ʔelek#
#uraɡ#,#ʔuraɡ#
