input,output
#empu#,#mpu#
#ʔalun#,#alun#
#ʔapit#,#apit#
#hapit#,#apit#
#ʔadʒeŋ#,#areŋ#
#ʔataj#,#ati#
#ʔabin#,#awin#
#ʔabu#,#awu#
#haŋin#,#aŋin#
#ʔelad#,#elar#
#heban#,#emban#
#ʔeti#,#enti#
#hikan#,#ikan#
#ʔisep#,#isep#
#rebuk#,#rebuk#
#ʔuzan#,#udan#
#ʔuzuŋ#,#udʒuŋ#
#ʔules#,#ules#
#ʔulun#,#ulun#
#ʔuntu#,#untu#
#ʔutaŋ#,#utaŋ#
#ʔubi#,#uwi#
#halas#,#alas#
#aliʔ#,#alih#
#ampun#,#ampun#
#anak#,#anak#
#apa#,#apa#
#hapuj#,#apuj#
#hapuj#,#apwi#
#adʒan#,#aran#
#hadʒek#,#arek#
#hasaʔ#,#asah#
#ʔasiʔ#,#asih#
#hawak#,#awak#
#awaj#,#awaj#
#ʔaŋap#,#aŋap#
#aŋkup#,#aŋkup#
#aduʔ#,#aɖuh#
#baʔbaʔ#,#babah#
#bakbak#,#babak#
#barbar#,#babar#
#baliw#,#bali#
#baliw#,#wali#
#balik#,#balik#
#baluk#,#baluk#
#bantiŋ#,#bantiŋ#
#bantiŋ#,#wantiŋ#
#baraŋ#,#baraŋ#
#baseʔ#,#basah#
#bedʒbedʒ#,#bebed#
#bekbek#,#bebek#
#bener#,#bener#
#bentuk#,#bentuk#
#beŋaŋ#,#beŋaŋ#
#biŋkas#,#biŋkas#
#buk#,#bok#
#buʔaŋ#,#buaŋ#
#buʔaŋ#,#bwaŋ#
#bukbuk#,#bubuk#
#buʔaja#,#buhaja#
#buŋkuʔ#,#bukuh#
#bukuʔ#,#bukuh#
#bunter#,#bunter#
#burit#,#burit#
#caŋket#,#caket#
#caket#,#caket#
#cekel#,#cekel#
#cupcup#,#cucup#
#ciŋkuk#,#ceŋkok#
#cikuk#,#ceŋkok#
#dalem#,#dalem#
#delep#,#delep#
#zauʔ#,#doh#
#zukut#,#dukut#
#dukut#,#dukut#
#dukut#,#ɖukut#
#deku#,#dəku#
#ʔembus#,#ebus#
#ʔembus#,#embus#
#elak#,#elak#
#eluŋ#,#eluŋ#
#ʔetut#,#entut#
#ɡanas#,#ɡanas#
#ɡarut#,#ɡarut#
#ɡatel#,#ɡatel#
#ɡajam#,#ɡajam#
#ɡesɡes#,#ɡeɡes#
#ɡeɡes#,#ɡeɡes#
#ɡiɡil#,#ɡiɡil#
#ɡila#,#ɡila#
#ɡiliŋ#,#ɡiliŋ#
#ɡurit#,#ɡurit#
#ɡurit#,#ɡurit#
#ʔahelu#,#halu#
#ʔanih#,#hani#
#ʔanitu#,#hanitu#
#ʔanahaw#,#hano#
#ʔatimun#,#hantimun#
#ʔanitu#,#hantu#
#ʔadep#,#harep#
#ʔatep#,#hatep#
#ʔajuju#,#hajuju#
#haŋus#,#haŋus#
#ʔelet#,#helet#
#ʔeneŋ#,#heneŋ#
#ʔilaŋ#,#hilaŋ#
#ʔilaŋ#,#ilaŋ#
#ʔitem#,#hitem#
#ʔulu#,#hulu#
#ʔuban#,#huwan#
#ʔubus#,#huwus#
#huab#,#hwab#
#huab#,#ob#
#hiket#,#iket#
#ikut#,#ikut#
#ilaw#,#ilo#
#ʔimpun#,#impun#
#ʔipun#,#impun#
#inum#,#inum#
#hipi#,#ipi#
#ida#,#ira#
#irid#,#irir#
#ʔiris#,#iris#
#zariŋ#,#dʒariŋ#
#zilak#,#dʒilak#
#kazaŋ#,#kadʒaŋ#
#kaka#,#kaka#
#kamiri#,#kamiri#
#kamiri#,#kameri#
#kamu#,#kamu#
#kamuniŋ#,#kamuniŋ#
#kanaŋa#,#kanaŋa#
#karaŋ#,#karaŋ#
#katapaŋ#,#katapaŋ#
#kahiw#,#kaju#
#kenas#,#kenas#
#kepuk#,#kepuk#
#keriʔik#,#kerik#
#kilat#,#kilat#
#kahu#,#ko#
#kubkub#,#kukub#
#kumis#,#kumis#
#kunidʒ#,#kunir#
#kusik#,#kusik#
#kusu#,#kusu#
#kubu#,#kuwu#
#kezeŋ#,#kədʒəŋ#
#ladiŋ#,#ladiŋ#
#laɡi#,#laɡi#
#laki#,#laki#
#laledʒ#,#laler#
#lalu#,#lalu#
#lateŋ#,#latəŋ#
#laban#,#lawan#
#laŋit#,#laŋit#
#laŋkaʔ#,#laŋkah#
#leŋen#,#leŋen#
#liket#,#liket#
#limas#,#limas#
#liŋ#,#liŋ#
#lisehaʔ#,#liŋsa#
#liseʔah#,#liŋsa#
#lumbar#,#lumbar#
#lumbu#,#lumbu#
#lumbuŋ#,#lumbuŋ#
#lumut#,#lumut#
#lupa#,#lupa#
#luʔar#,#luwar#
#lubaŋ#,#luwaŋ#
#liaŋ#,#ljaŋ#
#lebuʔ#,#ləbuh#
#lepit#,#ləpit#
#lesuŋ#,#ləsuŋ#
#lebiʔ#,#ləwih#
#leŋa#,#ləŋa#
#manuk#,#manuk#
#mata#,#mata#
#betu#,#metu#
#beŋa#,#meŋaː#
#miɲak#,#miɲak#
#natad#,#natar#
#nipaʔ#,#nipah#
#nusa#,#nuːsa#
#nusa#,#nuːsaːntara#
#wada#,#ora#
#paɡer#,#paɡer#
#paʔit#,#pahit#
#pak#,#pak#
#palu#,#palu#
#panas#,#panas#
#panaj#,#panaj#
#panaj#,#pane#
#panahik#,#panek#
#panahik#,#penek#
#paʔpaʔ#,#papah#
#papaʔ#,#papah#
#papan#,#papan#
#paraʔu#,#parahu#
#epat#,#pat#
#paŋan#,#paŋan#
#paŋedan#,#paɳɖan#
#peɲu#,#peɲu#
#pihpih#,#pipi#
#pahuʔ#,#poh#
#puk#,#pok#
#puket#,#pukət#
#puliŋ#,#puliŋ#
#pupu#,#pupu#
#pusuʔ#,#pusuh#
#pusedʒ#,#pusər#
#putat#,#putat#
#putiʔ#,#putih#
#putul#,#puʈul#
#peluk#,#pəluk#
#daʔih#,#rahi#
#daʔu#,#rahu#
#raket#,#raket#
#raŋepas#,#rampas#
#raŋpas#,#rampas#
#dapet#,#rapət#
#rapet#,#rapət#
#datu#,#ratu#
#raŋkep#,#raŋkep#
#rimpuŋ#,#rimpuŋ#
#ribut#,#riwut#
#dahun#,#ron#
#dahun#,#rwan#
#duŋkuk#,#ruŋkuk#
#duha#,#rwa#
#rempak#,#rəmpak#
#repak#,#rəmpak#
#remuk#,#rəmuk#
#sakit#,#sakit#
#salaʔ#,#salah#
#saʔebit#,#sambit#
#sapu#,#sapu#
#saput#,#saput#
#sandaj#,#saɳɖe#
#seŋɡer#,#seɡer#
#seɡer#,#seɡer#
#simpaŋ#,#simpaŋ#
#siksik#,#sisik#
#siŋkab#,#siŋkab#
#sual#,#sol#
#suluʔ#,#suluh#
#surup#,#surup#
#susuʔ#,#susuh#
#susun#,#susun#
#selep#,#sələp#
#taʔi#,#tahi#
#taʔu#,#tahu#
#tuʔelan#,#tahulan#
#taʔun#,#tahun#
#tazem#,#tadʒem#
#tales#,#tales#
#talih#,#tali#
#taluki#,#taluki#
#talun#,#talun#
#tama#,#tama#
#tambar#,#tamba#
#tambak#,#tambak#
#tampuk#,#tampok#
#tamiaŋ#,#tamjaŋ#
#taneʔ#,#tanah#
#tanem#,#tanem#
#tapel#,#tapel#
#tapi#,#tapi#
#tasak#,#tasak#
#tasik#,#tasik#
#taban#,#tawan#
#tabuʔan#,#tawwan#
#tabuʔan#,#tawon#
#taŋis#,#taŋis#
#tekuk#,#tekuk#
#tekuŋ#,#tekuŋ#
#timba#,#timba#
#timpaŋ#,#timpaŋ#
#tipis#,#tipis#
#tiŋtiŋ#,#tiŋtiŋ#
#tidem#,#tiɖem#
#tuʔah#,#tuha#
#tuʔu#,#tuhu#
#tuzu#,#tudʒu#
#tuli#,#tuli#
#tulus#,#tulus#
#tuluj#,#tuluj#
#tuluj#,#tulwi#
#tuluj#,#tuli#
#tuluŋ#,#tuluŋ#
#tumah#,#tuma#
#tumbak#,#tumbak#
#tumbuk#,#tumbuk#
#turus#,#turus#
#tutub#,#tutub#
#tuɡtuɡ#,#tutuɡ#
#tutup#,#tutup#
#tutur#,#tutur#
#tubuʔ#,#tuwuh#
#tumbuʔ#,#tuwuh#
#tuŋtuŋ#,#tuŋtuŋ#
#tuak#,#twak#
#tuak#,#tok#
#teka#,#təka#
#teken#,#təkən#
#tepak#,#təpak#
#teŋaʔ#,#təŋah#
#ua#,#ua#
#uaʔ#,#ua#
#ʔunzur#,#udʒur#
#ukir#,#ukir#
#hulem#,#ulem#
#ʔuledʒ#,#uler#
#huni#,#uni#
#hunus#,#unus#
#upaʔ#,#upah#
#upas#,#upas#
#hupiʔ#,#upih#
#ʔusuŋ#,#usuŋ#
#hutek#,#utek#
