input,output
#buaʔ#,#bbuwa#
#balaj#,#fal#
#banua#,#faliuw#
#para#,#fara#
#paŋedan#,#faʃ#
#kahiw#,#ɡai#
#kasaw#,#ɡato#
#kutu#,#ɡiusiu#
#kahu#,#ɡo#
#hikan#,#iɡ#
#hikan#,#iɡal#
#ʔuhenap#,#iul#
#ʔuledʒ#,#iul#
#hunus#,#iuliul#
#udʒan#,#iutal#
#kukuh#,#kiu#
#dalem#,#lal#
#ɲamuk#,#lamw#
#laŋit#,#laŋ#
#laŋen#,#laŋ#
#lumut#,#lumw#
#manuk#,#mal#
#manuk#,#maliuɡa#
#mata#,#mat#
#mai#,#me#
#papan#,#paap#
#taliŋa#,#pach#
#duha#,#riuwa#
#tasik#,#sat#
#danum#,#ʃal#
#kima#,#sium#
#sakaj#,#taɡ#
#sakaj#,#taɡeej#
#talih#,#tal#
#taneʔ#,#tal#
#taliŋa#,#taliŋ#
#taŋis#,#taŋ#
#puket#,#uɡ#
#ʔumun#,#umw#
#buaʔ#,#uwa#
#tebuh#,#wou#
#hapuj#,#jaf#
#ʔawas#,#jaiuw#
#ʔanitu#,#jalius#
#ʔataj#,#jas#
#ʔatep#,#jas#
#ʔazaj#,#jat#
#haŋin#,#jaŋ#
#ʔamataʔ#,#jemat#
#hapen#,#joa#
