input,output
#padran#,#faar#
#padʒu#,#faat#
#pica#,#fite#
#pidʒiko#,#fitik#
#pali#,#faal#
#pasok#,#fot#
#pituʔun#,#fuu#
#tabal#,#hap#
#taliŋa#,#hooma#
#taliŋa#,#haliŋ#
#taɲipa#,#hanif#
#lapa#,#lap#
#manuk#,#maan#
#maʔaɲur#,#maan#
#manuka#,#maanuwa#
#masedru#,#mater#
#mai#,#me#
#matakut#,#mehak#
#mamis#,#mem#
#masakit#,#metak#
#muno#,#muun#
#mate#,#ma#
#maɲawa#,#manaw#
#nimas#,#niim#
#napok#,#no#
#ɲoro#,#no#
#ɲoro#,#nonno#
#baban#,#paap#
#pasa#,#paat#
#palala#,#pal#
#piras#,#pir#
#puaʔ#,#puw#
#buaʔ#,#puw#
#buliʔ#,#pwiil#
#pisi#,#pwit#
#boŋi#,#pwooŋ#
#bukal#,#pwuka#
#bubu#,#pwupw#
#bubu#,#pwupw#
#bula#,#pwul#
#bali#,#palij#
#bali#,#pelij#
#piri#,#pir#
#pwaŋa#,#pʷaŋ#
#ranum#,#raan#
#tanoʔ#,#sɔɔn#
#saman#,#taam#
#siba#,#tiip#
#solos#,#tool#
#soŋot#,#toŋotoŋ#
#dʒaot#,#ttow#
#waɡa#,#waa#
#onom#,#woon#
#ko#,#wow#
#pupu#,#wuu#
#pukot#,#wuuk#
#pudi#,#wuur#
#puaʔ#,#wuuwa#
#buaʔ#,#wuuwa#
#puat#,#wuwaj#
#ʔulu#,#wul#
#ʔunap#,#wun#
#ʔusan#,#wut#
#ucan#,#wutan#
#dʒalan#,#jaal#
#isa#,#jiit#
#ʔase#,#jaat#
#ʔasu#,#jaat#
#aŋin#,#jaaŋ#
#ʔatop#,#jooh#
#ŋapa#,#ŋaaf#
#rato#,#raw#
#rua#,#ruwoow#
