input,output
#kahiw#,#adʒu#
#halas#,#aleʔ#
#ʔanahaw#,#anaw#
#anak#,#anaʔ#
#aɲem#,#aneŋ#
#ʔanitu#,#anitu#
#atel#,#anteʔ#
#ʔanuaŋ#,#anuaŋ#
#hasaʔ#,#asa#
#ʔataj#,#ate#
#haŋin#,#aŋiŋ#
#bahi#,#bai#
#balik#,#baliʔ#
#bantiŋ#,#bantiŋ#
#bantun#,#bantuŋ#
#barik#,#bariʔ#
#batu#,#batu#
#batu#,#watu#
#berber#,#bebeʔ#
#bedʒbedʒ#,#bebeʔ#
#belaŋ#,#belaŋ#
#beliʔ#,#bele#
#becik#,#besik#
#betus#,#bettu#
#beŋaʔ#,#beŋa#
#bila#,#bila#
#bilik#,#biliʔ#
#bilak#,#billaʔ#
#biluk#,#biluʔ#
#bintiŋ#,#bintiŋ#
#biseʔ#,#bissa#
#biŋkuŋ#,#biŋkuŋ#
#buʔaja#,#buaja#
#buʔaŋ#,#buaŋ#
#buhat#,#buaʔ#
#bubun#,#bubuŋ#
#buaj#,#bue#
#buka#,#buka#
#buŋkuk#,#bukkuʔ#
#bukuh#,#buku#
#bulat#,#bullaʔ#
#bulu#,#bulu#
#bulud#,#buluʔ#
#buntal#,#buntalaʔ#
#busa#,#busa#
#butun#,#butuŋ#
#buŋa#,#buŋa#
#dahun#,#dauŋ#
#duha#,#dua#
#ʔelet#,#elleʔ#
#eluŋ#,#elloŋ#
#empu#,#eppo#
#ʔaledʒaw#,#esso#
#ʔeti#,#etti#
#etuk#,#ettoʔ#
#ʔetut#,#ettuʔ#
#ina#,#ina#
#inum#,#inuŋ#
#ʔiris#,#ireʔ#
#iriŋ#,#iriŋ#
#ʔisep#,#isoʔ#
#kasaw#,#kaso#
#kima#,#kima#
#laki#,#lai#
#lakaw#,#lao#
#lasuʔ#,#laso#
#liaŋ#,#leaŋ#
#liaŋ#,#liaŋ#
#lumut#,#lumuʔ#
#lebiʔ#,#ləbbi#
#manuk#,#manuk#
#mata#,#mata#
#minaŋa#,#minaŋa#
#miɲak#,#miɲɲaʔ#
#na#,#na#
#nasu#,#nasu#
#naŋuj#,#naŋe#
#nipis#,#nipiʔ#
#paɡer#,#paɡeʔ#
#palu#,#palu#
#paŋedan#,#panreŋ#
#puʔun#,#poŋ#
#putiʔ#,#pute#
#hapedʒis#,#pɨsseʔ#
#dapet#,#rapeʔ#
#rempun#,#reppuŋ#
#riba#,#riwa#
#salaʔ#,#sala#
#sawa#,#sawa#
#taʔi#,#tai#
#tanem#,#taneŋ#
#tapa#,#tapa#
#tasik#,#tasiʔ#
#taʔun#,#tauŋ#
#teduŋ#,#tedduŋ#
#tindaw#,#tiro#
#tuʔah#,#toa#
#tundaŋ#,#tudaŋ#
#tudaŋ#,#tudaŋ#
#tumah#,#tuma#
#tunu#,#tunu#
#tebuh#,#təbbu#
#buaʔ#,#ua#
#bulan#,#uleŋ#
#bunuʔ#,#uno#
#pusuʔ#,#uso#
#kutaɲa#,#utana#
#kutu#,#utu#
#balun#,#waluŋ#
#baseʔ#,#wasa#
#bataŋ#,#wataŋ#
#baŋun#,#waŋuŋ#
#beka#,#weka#
#beluk#,#weluʔ#
#besek#,#weseʔ#
#betak#,#weta#
#beta#,#wetta#
#binaŋa#,#winaŋa#
#binehiʔ#,#wine#
#biseʔak#,#wisaʔ#
#bities#,#witi#
#buŋkas#,#wukkaʔ#
#bukas#,#wukkaʔ#
#bunbun#,#wumpuŋ#
#buta#,#wuta#
#buntaŋ#,#wuttaŋ#
#buŋas#,#wuŋeʔ#
