input,output
#aku#,#aku#
#alaʔ#,#ala#
#ʔemʔem#,#ammaŋ#
#enem#,#annan#
#asu#,#asu#
#ʔabu#,#au#
#haŋut#,#aŋoʔ#
#paen#,#aʔpan#
#baba#,#baa#
#babaw#,#babo#
#babuj#,#bai#
#baɲaw#,#bano#
#batux#,#batu#
#bakbak#,#baʔbak#
#bedʒbedʒ#,#baʔbaʔ#
#bilaŋ#,#bilaŋ#
#buaʔ#,#bua#
#buʔaja#,#buaja#
#bulilik#,#bulilik#
#buluʔ#,#bulo#
#budʒeʔ#,#burra#
#buŋa#,#buŋa#
#depah#,#daʔpa#
#di#,#di#
#ɡajaŋ#,#ɡaaŋ#
#ɡajaŋ#,#ɡajaŋ#
#ɡuŋɡuŋ#,#ɡoŋɡoŋ#
#ia#,#ia#
#ʔia#,#ia#
#isi#,#issi#
#iŋsuŋ#,#issoŋ#
#kapkap#,#kakaʔ#
#kalih#,#kali#
#kita#,#kita#
#lawaʔ#,#laa#
#zalan#,#lalan#
#lahud#,#lauʔ#
#laju#,#laju#
#likaw#,#liko#
#dilaʔ#,#lila#
#lima#,#lima#
#manuk#,#manuk#
#nadʒam#,#naram#
#paheku#,#paku#
#palu#,#palu#
#panaʔ#,#pana#
#padʒaj#,#pare#
#ʔapedʒux#,#paʔdu#
#pidʒax#,#pira#
#pitu#,#pitu#
#punti#,#punti#
#putput#,#puppuʔ#
#daŋdaŋ#,#raraŋ#
#sikux#,#siku#
#sipit#,#sipiʔ#
#susu#,#susu#
#takut#,#takuʔ#
#telu#,#tallu#
#tenun#,#tannun#
#tubah#,#tua#
#tulani#,#tulali#
#tuzuʔ#,#turo#
#tuktuk#,#tuʔtuk#
#ʔuaj#,#ue#
#ʔuledʒ#,#ulliʔ#
#ʔuluh#,#ulu#
#ʔumah#,#uma#
#ʔudaŋ#,#uraŋ#
